"sp_taxon_1";"sp_taxon_2";"value";"type"
"dogfish (demersal shark)";"dogfish (demersal shark)";0,084021851;"predation"
"dogfish (demersal shark)";"large fish";0,170404827;"predation"
"dogfish (demersal shark)";"redfish";0,06937356;"predation"
"dogfish (demersal shark)";"flathead";0,001133961;"predation"
"dogfish (demersal shark)";"redbait";0,029886863;"predation"
"dogfish (demersal shark)";"jack mackerel";0,078724855;"predation"
"dogfish (demersal shark)";"cardinal fish";0,062072716;"predation"
"dogfish (demersal shark)";"cucumberfish";0,003430465;"predation"
"dogfish (demersal shark)";"school whiting";0,061435833;"predation"
"dogfish (demersal shark)";"Small fish";0,169653151;"predation"
"dogfish (demersal shark)";"mesopelagic";3,88343e-06;"predation"
"dogfish (demersal shark)";"megabenthos";0,125124769;"predation"
"dogfish (demersal shark)";"macrobenthos";0,008702932;"predation"
"dogfish (demersal shark)";"pelagic invertebrates (inc squid)";0,130864028;"predation"
"dogfish (demersal shark)";"pelagic crustacean";0,000555003;"predation"
"dogfish (demersal shark)";"polychaeta";0,004611301;"predation"
"rays";"Small fish";0,008281678;"predation"
"rays";"megabenthos";0,25345275;"predation"
"rays";"macrobenthos";0,352602211;"predation"
"rays";"pelagic invertebrates (inc squid)";0,002227126;"predation"
"rays";"pelagic crustacean";0,007256408;"predation"
"rays";"polychaeta";0,376179827;"predation"
"Jackass morwong";"large fish";0,008654072;"predation"
"Jackass morwong";"cardinal fish";0,101867128;"predation"
"Jackass morwong";"Small fish";0,007199846;"predation"
"Jackass morwong";"mesopelagic";5,63156e-05;"predation"
"Jackass morwong";"megabenthos";0,093815373;"predation"
"Jackass morwong";"macrobenthos";0,468964757;"predation"
"Jackass morwong";"pelagic invertebrates (inc squid)";0,006994663;"predation"
"Jackass morwong";"pelagic crustacean";0,104878605;"predation"
"Jackass morwong";"polychaeta";0,207541295;"predation"
"Jackass morwong";"Primary producers";2,7945e-05;"herbivory"
"Warehous";"cardinal fish";0,026438921;"predation"
"Warehous";"Small fish";3,13128e-06;"predation"
"Warehous";"megabenthos";0,004995165;"predation"
"Warehous";"macrobenthos";0,029519129;"predation"
"Warehous";"pelagic invertebrates (inc squid)";0,938252046;"predation"
"Warehous";"pelagic crustacean";0,000696883;"predation"
"Warehous";"polychaeta";3,54831e-05;"predation"
"Warehous";"Primary producers";5,92413e-05;"herbivory"
"other large fish";"large fish";0,115668989;"predation"
"other large fish";"redfish";0,000638926;"predation"
"other large fish";"ocean perch";0,008629908;"predation"
"other large fish";"redbait";0,023510276;"predation"
"other large fish";"jack mackerel";0,358675472;"predation"
"other large fish";"cardinal fish";0,150250645;"predation"
"other large fish";"cucumberfish";0,047574876;"predation"
"other large fish";"school whiting";0,044570602;"predation"
"other large fish";"Small fish";0,177372411;"predation"
"other large fish";"mesopelagic";0,000144777;"predation"
"other large fish";"megabenthos";0,036671117;"predation"
"other large fish";"macrobenthos";0,01227767;"predation"
"other large fish";"pelagic invertebrates (inc squid)";0,014262596;"predation"
"other large fish";"pelagic crustacean";0,007588035;"predation"
"other large fish";"polychaeta";0,002161739;"predation"
"other large fish";"Primary producers";1,96064e-06;"herbivory"
"ling";"ocean perch";0,000810781;"predation"
"ling";"cucumberfish";0,079006128;"predation"
"ling";"Small fish";0,733603432;"predation"
"ling";"mesopelagic";0,000220713;"predation"
"ling";"megabenthos";0,11262004;"predation"
"ling";"macrobenthos";0,067432169;"predation"
"ling";"pelagic crustacean";0,006262451;"predation"
"ling";"polychaeta";4,42858e-05;"predation"
"redfish";"large fish";0,01388355;"predation"
"redfish";"cardinal fish";0,262790199;"predation"
"redfish";"cucumberfish";0,00027733;"predation"
"redfish";"Small fish";0,023290686;"predation"
"redfish";"mesopelagic";0,070933272;"predation"
"redfish";"megabenthos";0,082492031;"predation"
"redfish";"macrobenthos";0,035694787;"predation"
"redfish";"pelagic invertebrates (inc squid)";0,007045757;"predation"
"redfish";"pelagic crustacean";0,503177831;"predation"
"redfish";"polychaeta";0,000414556;"predation"
"flathead";"large fish";0,143839231;"predation"
"flathead";"ling";0,018600778;"predation"
"flathead";"jack mackerel";0,006652833;"predation"
"flathead";"cardinal fish";0,039450282;"predation"
"flathead";"cucumberfish";0,160165826;"predation"
"flathead";"school whiting";0,054526756;"predation"
"flathead";"Small fish";0,483953331;"predation"
"flathead";"mesopelagic";0,046900776;"predation"
"flathead";"megabenthos";0,016826298;"predation"
"flathead";"macrobenthos";0,010116977;"predation"
"flathead";"pelagic invertebrates (inc squid)";0,014937322;"predation"
"flathead";"pelagic crustacean";0,003150251;"predation"
"flathead";"polychaeta";0,000879339;"predation"
"ocean perch";"dogfish (demersal shark)";0,002112233;"predation"
"ocean perch";"large fish";0,053214518;"predation"
"ocean perch";"cardinal fish";0,071815907;"predation"
"ocean perch";"cucumberfish";0,077061624;"predation"
"ocean perch";"Small fish";0,192298186;"predation"
"ocean perch";"mesopelagic";4,32626e-06;"predation"
"ocean perch";"megabenthos";0,157865611;"predation"
"ocean perch";"macrobenthos";0,058313948;"predation"
"ocean perch";"pelagic invertebrates (inc squid)";0,371961497;"predation"
"ocean perch";"pelagic crustacean";0,007655147;"predation"
"ocean perch";"polychaeta";0,00700633;"predation"
"ocean perch";"Primary producers";0,000690674;"herbivory"
"redbait";"Small fish";0,064629586;"predation"
"redbait";"megabenthos";0,000639374;"predation"
"redbait";"macrobenthos";0,011940223;"predation"
"redbait";"pelagic invertebrates (inc squid)";0,54733951;"predation"
