"original_name";"name_clear"
"dogfish (demersal shark)";"Dogfish"
"rays";"Batoidea"
"Jackass morwong";"Nemadactylus macropterus"
"Warehous";"Warehous"
"other large fish";"Other pisces"
"ling";"Molva molva"
"redfish";"Sebastes"
"flathead";"Platycephalidae"
"ocean perch";"Sebastes"
"redbait";"Pyura stolonifera"
"jack mackerel";"Trachurus"
"cardinal fish";"Pterapogon kauderni"
"cucumberfish";"Holothuroidea"
"school whiting";"Sillago"
"Small fish";"Pisces"
"large fish";"Pisces"
"mesopelagic";"Mesopelagic"
"megabenthos";"Megabenthos"
"macrobenthos";"Macrobenthos"
"pelagic invertebrates (inc squid)";"Pelagic invertebrates"
"pelagic crustacean";"Pelagic crustacean"
"polychaeta";"Polychaeta"
"Primary producers";"Primary producers"
