"Bulman, C., Althaus, F., He, X., Bax, N.J., and Williams, A. (2001). Diets and trophic guilds of demersal fishes of the south-eastern Australian shelf. Marine and Freshwater Research. 52, pp. 537-48.",,,,,,,,,,,,,,,
Demersal fish diets - south-eastern Australia continental shelf ,dogfish (demersal shark),rays,Jackass morwong,Warehous,other large fish,ling,redfish,flathead,ocean perch,redbait,jack mackerel,cardinal fish,cucumberfish,school whiting,Small fish
dogfish (demersal shark),0.084021851,0,0,0,0,0,0,0,0.002112233,0,0,0,0,0,0
rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackass morwong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warehous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large fish,0.170404827,0,0.008654072,0,0.115668989,0,0.01388355,0.143839231,0.053214518,0,0.004247379,0,0,0,0.014422745
ling,0,0,0,0,0,0,0,0.018600778,0,0,0,0,0,0,0
redfish,0.06937356,0,0,0,0.000638926,0,0,0,0,0,0,0,0,0,0
flathead,0.001133961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ocean perch,0,0,0,0,0.008629908,0.000810781,0,0,0,0,0,0,0,0,0
redbait,0.029886863,0,0,0,0.023510276,0,0,0,0,0,0,0,0,0,0
jack mackerel,0.078724855,0,0,0,0.358675472,0,0,0.006652833,0,0,0,0,0,0,0
cardinal fish,0.062072716,0,0.101867128,0.026438921,0.150250645,0,0.262790199,0.039450282,0.071815907,0,0.005792874,0,0,0,0.013557381
cucumberfish,0.003430465,0,0,0,0.047574876,0.079006128,0.00027733,0.160165826,0.077061624,0,0,0,0,0,0
school whiting,0.061435833,0,0,0,0.044570602,0,0,0.054526756,0,0,0,0,0,0,0
Small fish,0.169653151,0.008281678,0.007199846,3.13128E-06,0.177372411,0.733603432,0.023290686,0.483953331,0.192298186,0.064629586,0.00123727,0,0.106633711,0.275356461,0.058692813
mesopelagic,3.88343E-06,0,5.63156E-05,0,0.000144777,0.000220713,0.070933272,0.046900776,4.32626E-06,0,0.310357024,0.836582541,0,0,0
megabenthos,0.125124769,0.25345275,0.093815373,0.004995165,0.036671117,0.11262004,0.082492031,0.016826298,0.157865611,0.000639374,0.021373333,0.015494707,0.133201527,0.013017168,0.306994052
macrobenthos,0.008702932,0.352602211,0.468964757,0.029519129,0.01227767,0.067432169,0.035694787,0.010116977,0.058313948,0.011940223,0.022857712,0.000555012,0.161968301,0.590823454,0.531995884
pelagic invertebrates (inc squid),0.130864028,0.002227126,0.006994663,0.938252046,0.014262596,0,0.007045757,0.014937322,0.371961497,0.54733951,0.026272174,0.00076029,0.310057002,0.01604171,0.037259189
pelagic crustacean,0.000555003,0.007256408,0.104878605,0.000696883,0.007588035,0.006262451,0.503177831,0.003150251,0.007655147,0.375358911,0.607824801,0.146607451,0.268552165,0.00431906,0.005444077
polychaeta,0.004611301,0.376179827,0.207541295,3.54831E-05,0.002161739,4.42858E-05,0.000414556,0.000879339,0.00700633,9.23951E-05,3.66105E-05,0,0.019587294,0.100442147,0.03146714
Primary producers,0,0,2.7945E-05,5.92413E-05,1.96064E-06,0,0,0,0.000690674,0,8.22759E-07,0,0,0,0.000166718
