"Christian, R.R., and Luczkovich, J.J. (1999). Organizing and understanding a winter's seagrass foodweb network through effective trophic levels. Ecological Modelling. 117. pp. 99-124.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goose Creek Bay - St. Marks National Wildlife Refuge - Florida - USA,Benthic bacteria,Microfauna,Meiofauna,Bacterioplankton,Microprotozoa,Epiphyte-grazing amphipods,Suspension-feeding molluscs,Hermit crabs,Spider crabs (herbivores),Omnivorous crabs,Blue crabs,Isopods,Brittle stars,Deposit-feeding peracaridan crustaceans,Herbivorous shrimps,Predatory shrimps,Catfish and stingrays,Tonguefish,Flounder and needlefish,Southern hake and sea robins,Atlantic silverside and bay anchovies,Sheepshead minnow,Killifishes,Gobies and blennies,Pinfish,Spot,Pipefish and seahorses,Red drum,Deposit-feeding gastropods,Predatory gastropods,Epiphyte-grazing gastropods,Other gastropods,Deposit-feeding polychaetes,Predatory polychaetes,Suspension-feeding polychaetes,Zooplankton,Benthos eating birds,Fish-eating birds,Fish and crustacean-eating birds,Gulls,Raptors,Herbivorous ducks
Benthic bacteria,0,0.65,0.08,0,0,0,0,0.01,0,0,0,0,0.095,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.05,0.01,0,0,0,0,0,0,0,0
Microfauna,0,0.05,0.04,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.015,0.01,0,0,0,0,0,0,0,0
Meiofauna,0,0,0.03,0,0,0,0,0.09,0,0,0,0,0.1,0,0,0.169,0,0,0,0,0,0.01,0.09,0.33,0.43,0.6,0.4,0,0.01,0,0,0,0.185,0.425,0,0,0,0,0,0,0,0
Bacterioplankton,0,0,0,0,0.47,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0
Microprotozoa,0,0,0,0,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0
Epiphyte-grazing amphipods,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.08,0,0.66,0,0,0.231,0.02,0.04,0.3,0.06,0.02,0.27,0.07,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
Suspension-feeding molluscs,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.005
Hermit crabs,0,0,0,0,0,0,0,0,0,0.07,0.74,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.15,0,0.035,0.06,0,0
Spider crabs (herbivores),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omnivorous crabs,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0.005,0,0,0,0,0,0,0.035,0,0,0,0.05,0,0,0,0,0,0,0,0,0.015,0,0,0.03,0,0
Blue crabs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0
Isopods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.13,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
