"original_name";"name_clear"
"vermilion rockfish";"Sebastes miniatus"
"California scorpion fish";"Scorpaena guttata"
"California sea lion";"Zalophus californianus"
"cabezon";"Scorpaenichthys marmoratus"
"squid";"Teuthida"
"small fishes and invertebrates";"Small fishes and invertebrates"
"Pacific sand dab";"Citharichthys sordidus"
"hornyhead turbot";"Pleuronichthys verticalis"
"longfin sand dab";"Citharichthys xanthostigma"
"ophiuroids";"Ophiuroidea"
"polychaetes";"Polychaeta"
"benthic crustacea";"Crustacea"
"hypoplanktonic crustacea";"Crustacea"
"white croaker";"Genyonemus lineatus"
"jack mackerel";"Trachurus"
"northern anchovy";"Engraulis mordax"
"zooplankton";"Zooplankton"
"blacksmith";"Blacksmith"
"black perch";"Black"
"rubber lip sea perch";"Rubber lip sea perch"
"sharpnose sea perch";"Sharpnose sea perch"
"shiner perch";"Shiner perch"
"octopus";"Octopoda"
"detritus";"Detritus"
