"sp_taxon_1";"sp_taxon_2";"value";"type"
"vermilion rockfish";"squid";"1";"predation"
"vermilion rockfish";"white croaker";"1";"predation"
"vermilion rockfish";"jack mackerel";"1";"predation"
"vermilion rockfish";"northern anchovy";"1";"predation"
"vermilion rockfish";"zooplankton";"1";"predation"
"California scorpion fish";"squid";"1";"predation"
"California scorpion fish";"octopus";"1";"predation"
"California scorpion fish";"white croaker";"1";"predation"
"California scorpion fish";"jack mackerel";"1";"predation"
"California scorpion fish";"northern anchovy";"1";"predation"
"California sea lion";"squid";"1";"predation"
"California sea lion";"white croaker";"1";"predation"
"California sea lion";"jack mackerel";"1";"predation"
"California sea lion";"northern anchovy";"1";"predation"
"cabezon";"squid";"1";"predation"
"cabezon";"octopus";"1";"predation"
"cabezon";"northern anchovy";"1";"predation"
"squid";"northern anchovy";"1";"predation"
"small fishes and invertebrates";"detritus";"1";"commensalism"
"Pacific sand dab";"benthic crustacea";"1";"predation"
"Pacific sand dab";"hypoplanktonic crustacea";"1";"predation"
"hornyhead turbot";"polychaetes";"1";"predation"
"hornyhead turbot";"benthic crustacea";"1";"predation"
"hornyhead turbot";"hypoplanktonic crustacea";"1";"predation"
"longfin sand dab";"ophiuroids";"1";"predation"
"longfin sand dab";"polychaetes";"1";"predation"
"longfin sand dab";"benthic crustacea";"1";"predation"
"ophiuroids";"detritus";"1";"commensalism"
"polychaetes";"detritus";"1";"commensalism"
"benthic crustacea";"detritus";"1";"commensalism"
"hypoplanktonic crustacea";"detritus";"1";"commensalism"
"white croaker";"northern anchovy";"1";"predation"
"white croaker";"zooplankton";"1";"predation"
"jack mackerel";"zooplankton";"1";"predation"
"jack mackerel";"detritus";"1";"commensalism"
"northern anchovy";"detritus";"1";"commensalism"
"zooplankton";"detritus";"1";"commensalism"
"blacksmith";"zooplankton";"1";"predation"
"black perch";"zooplankton";"1";"predation"
"rubber lip sea perch";"zooplankton";"1";"predation"
"sharpnose sea perch";"zooplankton";"1";"predation"
"shiner perch";"zooplankton";"1";"predation"
