"name";"bold";"eol";"tsn";"ncbi"
"Sebastes miniatus";33917;7316630;166729;72087
"Scorpaena guttata";79414;7316904;166827;72114
"Zalophus californianus";83171;6147583;180621;9704
"Scorpaenichthys marmoratus";76463;7317585;692068;52273
"Teuthida";156827;10176828;82431;551290
"Small fishes and invertebrates";NA;NA;NA;NA
"Citharichthys sordidus";11803;7252274;172716;319774
"Pleuronichthys verticalis";125509;7319870;172926;195635
"Citharichthys xanthostigma";125499;7252279;172726;195600
"Ophiuroidea";32;12223143;157325;7618
"Polychaeta";24489;6491523;92831;6341
"Crustacea";152225;7723900;47307;6657
"Genyonemus lineatus";125526;7224530;169257;320395
"Trachurus";3511;11165700;168588;36211
"Engraulis mordax";33922;6986062;161828;239368
"Blacksmith";NA;NA;176483;231457
"Black";8100;NA;17335;NA
"Rubber lip sea perch";NA;NA;NA;NA
"Sharpnose sea perch";NA;NA;NA;NA
"Shiner perch";NA;NA;169739;50794
"Octopoda";250;7888993;82589;6638
