"sp_taxon_1";"sp_taxon_2";"value";"type"
"Tubificidae sp. (Oligochaeta)";"Amorphous detritus";"1";"commensalism"
"Tubificidae sp. (Oligochaeta)";"Dead cellular plant material";"1";"scavenger"
"Naididae sp. (Oligochaeta)";"Amorphous detritus";"1";"commensalism"
"Naididae sp. (Oligochaeta)";"Dead cellular plant material";"1";"scavenger"
"Lumbricidae sp. (Oligochaeta)";"Amorphous detritus";"1";"commensalism"
"Lumbricidae sp. (Oligochaeta)";"Dead cellular plant material";"1";"scavenger"
"Ferrissia sp. (Mollusca - Gastropoda)";"Amorphous detritus";"1";"commensalism"
"Ferrissia sp. (Mollusca - Gastropoda)";"Dead cellular plant material";"1";"scavenger"
"Ferrissia sp. (Mollusca - Gastropoda)";"Tetraedron sp.";"1";"herbivory"
"Ferrissia sp. (Mollusca - Gastropoda)";"Tabellaria sp.";"1";"predation"
"Ferrissia sp. (Mollusca - Gastropoda)";"Navicula sp.";"1";"herbivory"
"Angrobia sp. (Mollusca - Gastropoda)";"Amorphous detritus";"1";"commensalism"
"Angrobia sp. (Mollusca - Gastropoda)";"Dead cellular plant material";"1";"scavenger"
"Angrobia sp. (Mollusca - Gastropoda)";"Tetraedron sp.";"1";"herbivory"
"Angrobia sp. (Mollusca - Gastropoda)";"Tabellaria sp.";"1";"predation"
"Angrobia sp. (Mollusca - Gastropoda)";"Navicula sp.";"1";"herbivory"
"Physastra gibbosa (Mollusca - Gastropoda)";"Amorphous detritus";"1";"commensalism"
"Physastra gibbosa (Mollusca - Gastropoda)";"Dead cellular plant material";"1";"scavenger"
"Physastra gibbosa (Mollusca - Gastropoda)";"Tetraedron sp.";"1";"herbivory"
"Physastra gibbosa (Mollusca - Gastropoda)";"Tabellaria sp.";"1";"predation"
"Physastra gibbosa (Mollusca - Gastropoda)";"Navicula sp.";"1";"herbivory"
"Chironomus sp. (Diptera - Chironomidae)";"Amorphous detritus";"1";"commensalism"
"Chironomus sp. (Diptera - Chironomidae)";"Dead cellular plant material";"1";"scavenger"
"Chironomus sp. (Diptera - Chironomidae)";"Algae spp.";"1";"herbivory"
"Chironomus sp. (Diptera - Chironomidae)";"Tetraedron sp.";"1";"herbivory"
"Chironomus sp. (Diptera - Chironomidae)";"Tabellaria sp.";"1";"predation"
"Chironomus sp. (Diptera - Chironomidae)";"Navicula sp.";"1";"herbivory"
"Paramerina sp. (Diptera - Chironomidae)";"Chironomus sp. (Diptera - Chironomidae)";"1";"predation"
"Orthocladiinae sp. 1 (Chironomidae)";"Amorphous detritus";"1";"commensalism"
"Orthocladiinae sp. 1 (Chironomidae)";"Dead cellular plant material";"1";"scavenger"
"Triplectides truncatus (Trichoptera - Leptoceridae)";"Amorphous detritus";"1";"commensalism"
"Triplectides truncatus (Trichoptera - Leptoceridae)";"Dead cellular plant material";"1";"scavenger"
"Triplectides truncatus (Trichoptera - Leptoceridae)";"Tetraedron sp.";"1";"herbivory"
"Triplectides truncatus (Trichoptera - Leptoceridae)";"Tabellaria sp.";"1";"predation"
"Triplectides truncatus (Trichoptera - Leptoceridae)";"Navicula sp.";"1";"herbivory"
"Triplectides ciuskeus (Trichoptera - Leptoceridae)";"Amorphous detritus";"1";"commensalism"
"Triplectides ciuskeus (Trichoptera - Leptoceridae)";"Dead cellular plant material";"1";"scavenger"
"Helicopsychidae sp. (Trichoptera)";"Amorphous detritus";"1";"commensalism"
"Helicopsychidae sp. (Trichoptera)";"Dead cellular plant material";"1";"scavenger"
"Helicopsychidae sp. (Trichoptera)";"Tetraedron sp.";"1";"herbivory"
"Helicopsychidae sp. (Trichoptera)";"Tabellaria sp.";"1";"predation"
"Helicopsychidae sp. (Trichoptera)";"Navicula sp.";"1";"herbivory"
"Necterosoma penicillatus - adult (Chironomidae - Dytiscidae)";"Tubificidae sp. (Oligochaeta)";"1";"predation"
"Necterosoma penicillatus - adult (Chironomidae - Dytiscidae)";"Naididae sp. (Oligochaeta)";"1";"predation"
"Necterosoma penicillatus - adult (Chironomidae - Dytiscidae)";"Lumbricidae sp. (Oligochaeta)";"1";"predation"
"Necterosoma penicillatus - adult (Chironomidae - Dytiscidae)";"Chironomus sp. (Diptera - Chironomidae)";"1";"predation"
"Necterosoma penicillatus - adult (Chironomidae - Dytiscidae)";"Orthocladiinae sp. 1 (Chironomidae)";"1";"predation"
"Eucyclops sp. (Copepoda)";"Amorphous detritus";"1";"commensalism"
"Eucyclops sp. (Copepoda)";"Dead cellular plant material";"1";"scavenger"
"Macrocyclops albidus (Copepoda)";"Eucyclops sp. (Copepoda)";"1";"predation"
