"original_name";"name_clear"
"Tubificidae sp. (Oligochaeta)";"Tubificidae"
"Naididae sp. (Oligochaeta)";"Naididae"
"Lumbricidae sp. (Oligochaeta)";"Lumbricidae"
"Ferrissia sp. (Mollusca - Gastropoda)";"Ferrissia"
"Angrobia sp. (Mollusca - Gastropoda)";"Angrobia"
"Physastra gibbosa (Mollusca - Gastropoda)";"Physastra gibbosa"
"Chironomus sp. (Diptera - Chironomidae)";"Chironomus"
"Paramerina sp. (Diptera - Chironomidae)";"Paramerina"
"Orthocladiinae sp. 1 (Chironomidae)";"Orthocladiinae"
"Triplectides truncatus (Trichoptera - Leptoceridae)";"Triplectides truncatus"
"Triplectides ciuskeus (Trichoptera - Leptoceridae)";"Triplectides ciuskeus"
"Helicopsychidae sp. (Trichoptera)";"Helicopsychidae"
"Necterosoma penicillatus - adult (Chironomidae - Dytiscidae)";"Necterosoma penicillatus"
"Eucyclops sp. (Copepoda)";"Eucyclops"
"Macrocyclops albidus (Copepoda)";"Macrocyclops albidus"
"Amorphous detritus";"Detritus"
"Dead cellular plant material";"Dead cellular plant material"
"Tetraedron sp.";"Tetraedron"
"Tabellaria sp.";"Tabellaria"
"Navicula sp.";"Navicula"
"Algae spp.";"Algae"
