"original_name";"name_clear"
"Tubificidae sp. (Oligochaeta)";"Tubificidae"
"Naididae sp. (Oligochaeta)";"Naididae"
"Lumbricidae sp. (Oligochaeta)";"Lumbricidae"
"Physastra gibbosa (Mollusca - Gastropoda)";"Physastra gibbosa"
"Glacidorbis hedleyi (Mollusca - Gastropoda)";"Glacidorbis hedleyi"
"Chironomus sp. (Diptera - Chironomidae)";"Chironomus"
"Coelopynia sp. (Diptera - Chironomidae)";"Coelopynia"
"Riethia sp. (Diptera - Chironomidae)";"Riethia"
"Austrosimulium sp. (Diptera - Chironomidae)";"Austrosimulium"
"Tipulidae sp. 1 (Diptera)";"Tipulidae"
"Tipulidae sp. 2 (Diptera)";"Tipulidae"
"Triplectides truncatus (Trichoptera - Leptoceridae)";"Triplectides truncatus"
"Agapetus kimminsii (Trichoptera - Glossomatidae)";"Agapetus kimminsii"
"Koorononga pilosa (Ephemeroptera - Leptophlebiidae)";"Koorononga pilosa"
"Riekoperla rugosa (Pisces - Glossomatidae)";"Riekoperla rugosa"
"Illiesoperla australis (Pisces - Glossomatidae)";"Illiesoperla australis"
"Necterosoma penicillatus - adult (Chironomidae - Dytiscidae)";"Necterosoma penicillatus"
"Eucyclops sp. (Copepoda)";"Eucyclops"
"Macrocyclops albidus (Copepoda)";"Macrocyclops albidus"
"Ilyocypris australiensis (Crustacea - Ostracoda)";"Ilyocypris australiensis"
"Amorphous detritus";"Detritus"
"Dead cellular plant material";"Dead cellular plant material"
"Algae spp.";"Algae"
"Tetraedron sp.";"Tetraedron"
"Tabellaria sp.";"Tabellaria"
"Navicula sp.";"Navicula"
"Fungi";"Fungi"
