"sp_taxon_1";"sp_taxon_2";"value";"type"
"Hydra sp.";"Ecnomus russellius (Trichoptera - Ecnomidae)";"1";"predation"
"Hydra sp.";"Eucyclops sp. (Copepoda)";"1";"predation"
"Tubificidae sp. (Oligochaeta)";"Amorphous detritus";"1";"commensalism"
"Tubificidae sp. (Oligochaeta)";"Dead cellular plant material";"1";"scavenger"
"Naididae sp. (Oligochaeta)";"Amorphous detritus";"1";"commensalism"
"Naididae sp. (Oligochaeta)";"Dead cellular plant material";"1";"scavenger"
"Lumbricidae sp. (Oligochaeta)";"Amorphous detritus";"1";"commensalism"
"Lumbricidae sp. (Oligochaeta)";"Dead cellular plant material";"1";"scavenger"
"Ferrissia sp. (Mollusca - Gastropoda)";"Amorphous detritus";"1";"commensalism"
"Ferrissia sp. (Mollusca - Gastropoda)";"Dead cellular plant material";"1";"scavenger"
"Ferrissia sp. (Mollusca - Gastropoda)";"Tetraedron sp.";"1";"herbivory"
"Ferrissia sp. (Mollusca - Gastropoda)";"Tabellaria sp.";"1";"predation"
"Ferrissia sp. (Mollusca - Gastropoda)";"Navicula sp.";"1";"herbivory"
"Angrobia sp. (Mollusca - Gastropoda)";"Amorphous detritus";"1";"commensalism"
"Angrobia sp. (Mollusca - Gastropoda)";"Dead cellular plant material";"1";"scavenger"
"Angrobia sp. (Mollusca - Gastropoda)";"Algae spp.";"1";"herbivory"
"Physastra gibbosa (Mollusca - Gastropoda)";"Amorphous detritus";"1";"commensalism"
"Physastra gibbosa (Mollusca - Gastropoda)";"Dead cellular plant material";"1";"scavenger"
"Physastra gibbosa (Mollusca - Gastropoda)";"Algae spp.";"1";"herbivory"
"Sphaerium tasmanicum (Mollusca - Bivalvia)";"Amorphous detritus";"1";"commensalism"
"Sphaerium tasmanicum (Mollusca - Bivalvia)";"Dead cellular plant material";"1";"scavenger"
"Sphaerium tasmanicum (Mollusca - Bivalvia)";"Tetraedron sp.";"1";"herbivory"
"Sphaerium tasmanicum (Mollusca - Bivalvia)";"Tabellaria sp.";"1";"predation"
"Sphaerium tasmanicum (Mollusca - Bivalvia)";"Navicula sp.";"1";"herbivory"
"Paramerina sp. (Diptera - Chironomidae)";"Riethia sp. (Diptera - Chironomidae)";"1";"predation"
"Paramerina sp. (Diptera - Chironomidae)";"Rheotanytarsus sp. (Diptera - Chironomidae)";"1";"predation"
"Paramerina sp. (Diptera - Chironomidae)";"Thienmaniella trivittata (Diptera - Chironomidae)";"1";"predation"
"Paramerina sp. (Diptera - Chironomidae)";"nr. Halocladius sp. (Diptera - Chironomidae)";"1";"predation"
"Paramerina sp. (Diptera - Chironomidae)";"Eucyclops sp. (Copepoda)";"1";"predation"
"Riethia sp. (Diptera - Chironomidae)";"Amorphous detritus";"1";"commensalism"
"Riethia sp. (Diptera - Chironomidae)";"Dead cellular plant material";"1";"scavenger"
"Riethia sp. (Diptera - Chironomidae)";"Tetraedron sp.";"1";"herbivory"
"Riethia sp. (Diptera - Chironomidae)";"Tabellaria sp.";"1";"predation"
"Riethia sp. (Diptera - Chironomidae)";"Navicula sp.";"1";"herbivory"
"Cricotopus annuliventrus (Diptera - Chironomidae)";"Amorphous detritus";"1";"commensalism"
"Cricotopus annuliventrus (Diptera - Chironomidae)";"Dead cellular plant material";"1";"scavenger"
"Cricotopus annuliventrus (Diptera - Chironomidae)";"Tetraedron sp.";"1";"herbivory"
"Cricotopus annuliventrus (Diptera - Chironomidae)";"Tabellaria sp.";"1";"predation"
"Cricotopus annuliventrus (Diptera - Chironomidae)";"Navicula sp.";"1";"herbivory"
"Rheotanytarsus sp. (Diptera - Chironomidae)";"Amorphous detritus";"1";"commensalism"
"Rheotanytarsus sp. (Diptera - Chironomidae)";"Dead cellular plant material";"1";"scavenger"
"Parakieferiella sp. (Diptera - Chironomidae)";"Amorphous detritus";"1";"commensalism"
"Parakieferiella sp. (Diptera - Chironomidae)";"Dead cellular plant material";"1";"scavenger"
"Thienmaniella trivittata (Diptera - Chironomidae)";"Amorphous detritus";"1";"commensalism"
"Thienmaniella trivittata (Diptera - Chironomidae)";"Dead cellular plant material";"1";"scavenger"
"Tanytarsus inextensus (Diptera - Chironomidae)";"Amorphous detritus";"1";"commensalism"
"Tanytarsus inextensus (Diptera - Chironomidae)";"Dead cellular plant material";"1";"scavenger"
"Tanytarsus inextensus (Diptera - Chironomidae)";"Tetraedron sp.";"1";"herbivory"
"Tanytarsus inextensus (Diptera - Chironomidae)";"Tabellaria sp.";"1";"predation"
"Tanytarsus inextensus (Diptera - Chironomidae)";"Navicula sp.";"1";"herbivory"
"nr. Halocladius sp. (Diptera - Chironomidae)";"Amorphous detritus";"1";"commensalism"
"nr. Halocladius sp. (Diptera - Chironomidae)";"Dead cellular plant material";"1";"scavenger"
"nr. Halocladius sp. (Diptera - Chironomidae)";"Tetraedron sp.";"1";"herbivory"
"nr. Halocladius sp. (Diptera - Chironomidae)";"Tabellaria sp.";"1";"predation"
"nr. Halocladius sp. (Diptera - Chironomidae)";"Navicula sp.";"1";"herbivory"
"Stempellina sp. (Diptera - Chironomidae)";"Amorphous detritus";"1";"commensalism"
"Stempellina sp. (Diptera - Chironomidae)";"Dead cellular plant material";"1";"scavenger"
"Chironomidae sp. (Chironomidae - Diptera)";"Amorphous detritus";"1";"commensalism"
"Chironomidae sp. (Chironomidae - Diptera)";"Dead cellular plant material";"1";"scavenger"
"Chironomidae sp. (Chironomidae - Diptera)";"Tetraedron sp.";"1";"herbivory"
"Chironomidae sp. (Chironomidae - Diptera)";"Tabellaria sp.";"1";"predation"
"Chironomidae sp. (Chironomidae - Diptera)";"Navicula sp.";"1";"herbivory"
"Brillia sp. (Chironomidae - Diptera)";"Amorphous detritus";"1";"commensalism"
"Brillia sp. (Chironomidae - Diptera)";"Dead cellular plant material";"1";"scavenger"
"Tipulid sp. (Chironomidae - Diptera)";"Amorphous detritus";"1";"commensalism"
"Tipulid sp. (Chironomidae - Diptera)";"Dead cellular plant material";"1";"scavenger"
"Polypedilum sp. (Chironomidae - Diptera)";"Amorphous detritus";"1";"commensalism"
"Polypedilum sp. (Chironomidae - Diptera)";"Dead cellular plant material";"1";"scavenger"
"Larsia sp. (Chironomidae - Diptera)";"Riethia sp. (Diptera - Chironomidae)";"1";"predation"
"Ablabesmyia sp. (Chironomidae - Diptera)";"Thienmaniella trivittata (Diptera - Chironomidae)";"1";"predation"
"Ablabesmyia sp. (Chironomidae - Diptera)";"Tanytarsus inextensus (Diptera - Chironomidae)";"1";"predation"
"Triplectides truncatus (Trichoptera - Leptoceridae)";"Amorphous detritus";"1";"commensalism"
"Triplectides truncatus (Trichoptera - Leptoceridae)";"Dead cellular plant material";"1";"scavenger"
"Helicopsychidae sp. (Trichoptera)";"Amorphous detritus";"1";"commensalism"
"Helicopsychidae sp. (Trichoptera)";"Dead cellular plant material";"1";"scavenger"
"Tasmasia acuta (Trichoptera - Calocidae)";"Amorphous detritus";"1";"commensalism"
"Tasmasia acuta (Trichoptera - Calocidae)";"Dead cellular plant material";"1";"scavenger"
"Tasmasia acuta (Trichoptera - Calocidae)";"Algae spp.";"1";"herbivory"
"Tasmasia acuta (Trichoptera - Calocidae)";"Tetraedron sp.";"1";"herbivory"
"Tasmasia acuta (Trichoptera - Calocidae)";"Tabellaria sp.";"1";"predation"
"Tasmasia acuta (Trichoptera - Calocidae)";"Navicula sp.";"1";"herbivory"
"Ecnomus russellius (Trichoptera - Ecnomidae)";"Riethia sp. (Diptera - Chironomidae)";"1";"predation"
"Ecnomus russellius (Trichoptera - Ecnomidae)";"Thienmaniella trivittata (Diptera - Chironomidae)";"1";"predation"
"Ecnomus russellius (Trichoptera - Ecnomidae)";"Tanytarsus inextensus (Diptera - Chironomidae)";"1";"predation"
"Ecnomus russellius (Trichoptera - Ecnomidae)";"nr. Halocladius sp. (Diptera - Chironomidae)";"1";"predation"
"Ecnomus russellius (Trichoptera - Ecnomidae)";"Eucyclops sp. (Copepoda)";"1";"predation"
"Oecetis sp. (Trichoptera - Leptoceridae)";"Tanytarsus inextensus (Diptera - Chironomidae)";"1";"predation"
"Apsilochorema sp. (Trichoptera - Hydrobiosidae)";"Thienmaniella trivittata (Diptera - Chironomidae)";"1";"predation"
"Apsilochorema sp. (Trichoptera - Hydrobiosidae)";"Tanytarsus inextensus (Diptera - Chironomidae)";"1";"predation"
"Apsilochorema sp. (Trichoptera - Hydrobiosidae)";"nr. Halocladius sp. (Diptera - Chironomidae)";"1";"predation"
"Apsilochorema sp. (Trichoptera - Hydrobiosidae)";"Tanypod sp. (Chironomidae - Diptera)";"1";"predation"
"Koorononga pilosa (Ephemeroptera - Leptophlebiidae)";"Amorphous detritus";"1";"commensalism"
"Koorononga pilosa (Ephemeroptera - Leptophlebiidae)";"Dead cellular plant material";"1";"scavenger"
"Leptoperla bifida (Pisces - Gripopterygidae)";"Amorphous detritus";"1";"commensalism"
"Leptoperla bifida (Pisces - Gripopterygidae)";"Dead cellular plant material";"1";"scavenger"
"Leptoperla bifida (Pisces - Gripopterygidae)";"Tetraedron sp.";"1";"herbivory"
"Leptoperla bifida (Pisces - Gripopterygidae)";"Tabellaria sp.";"1";"predation"
"Leptoperla bifida (Pisces - Gripopterygidae)";"Navicula sp.";"1";"herbivory"
