"original_name";"name_clear"
"Hydra sp.";"Hydra"
"Tubificidae sp. (Oligochaeta)";"Tubificidae"
"Naididae sp. (Oligochaeta)";"Naididae"
"Lumbricidae sp. (Oligochaeta)";"Lumbricidae"
"Ferrissia sp. (Mollusca - Gastropoda)";"Ferrissia"
"Angrobia sp. (Mollusca - Gastropoda)";"Angrobia"
"Physastra gibbosa (Mollusca - Gastropoda)";"Physastra gibbosa"
"Sphaerium tasmanicum (Mollusca - Bivalvia)";"Sphaerium tasmanicum"
"Paramerina sp. (Diptera - Chironomidae)";"Paramerina"
"Riethia sp. (Diptera - Chironomidae)";"Riethia"
"Cricotopus annuliventrus (Diptera - Chironomidae)";"Cricotopus annuliventrus"
"Rheotanytarsus sp. (Diptera - Chironomidae)";"Rheotanytarsus"
"Parakieferiella sp. (Diptera - Chironomidae)";"Parakieferiella"
"Thienmaniella trivittata (Diptera - Chironomidae)";"Thienmaniella trivittata"
"Tanytarsus inextensus (Diptera - Chironomidae)";"Tanytarsus inextensus"
"nr. Halocladius sp. (Diptera - Chironomidae)";"Halocladius"
"Stempellina sp. (Diptera - Chironomidae)";"Stempellina"
"Chironomidae sp. (Chironomidae - Diptera)";"Chironomidae"
"Brillia sp. (Chironomidae - Diptera)";"Brillia"
"Tipulid sp. (Chironomidae - Diptera)";"Tipulid"
"Polypedilum sp. (Chironomidae - Diptera)";"Polypedilum"
"Larsia sp. (Chironomidae - Diptera)";"Larsia"
"Ablabesmyia sp. (Chironomidae - Diptera)";"Ablabesmyia"
"Triplectides truncatus (Trichoptera - Leptoceridae)";"Triplectides truncatus"
"Helicopsychidae sp. (Trichoptera)";"Helicopsychidae"
"Tasmasia acuta (Trichoptera - Calocidae)";"Tasmasia acuta"
"Ecnomus russellius (Trichoptera - Ecnomidae)";"Ecnomus russellius"
"Oecetis sp. (Trichoptera - Leptoceridae)";"Oecetis"
"Apsilochorema sp. (Trichoptera - Hydrobiosidae)";"Apsilochorema"
"Koorononga pilosa (Ephemeroptera - Leptophlebiidae)";"Koorononga pilosa"
"Leptoperla bifida (Pisces - Gripopterygidae)";"Leptoperla bifida"
"Acruroperla atra (Pisces - Austroperlidae)";"Acruroperla atra"
"Dinotoperla sp. (Pisces - Gripopterygidae)";"Dinotoperla"
"Macrogyrus oblongus - adult (Chironomidae  - Gyrinidae)";"Macrogyrus oblongus"
"Eucyclops sp. (Copepoda)";"Eucyclops"
"Macrocyclops albidus (Copepoda)";"Macrocyclops albidus"
"Ilyocypris australiensis (Crustacea - Ostracoda)";"Ilyocypris australiensis"
"Afrochiltonia australis (Crustacea - Amphipoda)";"Afrochiltonia australis"
"Pleuroxus sp. (Crustacea - Cladocera)";"Pleuroxus"
"Galaxias olidus (Pisces - Galaxidae)";"Galaxias olidus"
"Amorphous detritus";"Detritus"
"Dead cellular plant material";"Dead cellular plant material"
"Tetraedron sp.";"Tetraedron"
"Tabellaria sp.";"Tabellaria"
"Navicula sp.";"Navicula"
"Algae spp.";"Algae"
"Tanypod sp. (Chironomidae - Diptera)";"Tanypod"
"Terrestrial insects";"Insectae"
"Eukiefferiella sp. (Chironomidae - Diptera)";"Eukiefferiella"
"Empididae sp. 1 (Diptera)";"Empididae"
"Macrogyrus oblongus (Chironomidae  - Gyrinidae)";"Macrogyrus oblongus"
