"sp_taxon_1";"sp_taxon_2";"value";"type"
"Acartia tonsa";"dinoflagellates";"1";"herbivory"
"harpacticoids";"dinoflagellates";"1";"herbivory"
"Rangia";"detritus";"1";"commensalism"
"Rangia";"dinoflagellates";"1";"herbivory"
"Rangia";"benthic diatoms";"1";"herbivory"
"Gammarus";"benthic diatoms";"1";"herbivory"
"Paleomonetes";"benthic diatoms";"1";"herbivory"
"Mugil";"detritus";"1";"commensalism"
"Mugil";"dinoflagellates";"1";"herbivory"
"Mugil";"benthic diatoms";"1";"herbivory"
"small Paralichthys";"Acartia tonsa";"1";"predation"
"small Paralichthys";"harpacticoids";"1";"predation"
"small Paralichthys";"Gammarus";"1";"predation"
"small Paralichthys";"Paleomonetes";"1";"predation"
"Brevoortia";"Acartia tonsa";"1";"predation"
"Brevoortia";"harpacticoids";"1";"predation"
"small Leiostomus";"Acartia tonsa";"1";"predation"
"small Leiostomus";"harpacticoids";"1";"predation"
"Micropogon";"Acartia tonsa";"1";"predation"
"Micropogon";"harpacticoids";"1";"predation"
"small Leiostomus";"Gammarus";"1";"predation"
"small Leiostomus";"Paleomonetes";"1";"predation"
"Micropogon";"Gammarus";"1";"predation"
"Micropogon";"Paleomonetes";"1";"predation"
"Callinectes";"Ruppia";"1";"predation"
"Callinectes";"Rangia";"1";"predation"
"Callinectes";"Gammarus";"1";"predation"
"Callinectes";"Paleomonetes";"1";"predation"
"Ctenophora";"Acartia tonsa";"1";"predation"
"Ctenophora";"harpacticoids";"1";"predation"
"Roccus";"Mugil";"1";"predation"
"Cynoscion";"Mugil";"1";"predation"
"Roccus";"Brevoortia";"1";"predation"
"Cynoscion";"Brevoortia";"1";"predation"
"Roccus";"small Leiostomus";"1";"predation"
"Roccus";"Micropogon";"1";"predation"
"Cynoscion";"small Leiostomus";"1";"predation"
"Cynoscion";"Micropogon";"1";"predation"
