"original_name";"name_clear"
"Acartia tonsa";"Acartia tonsa"
"harpacticoids";"Harpacticoids"
"Rangia";"Rangia"
"Gammarus";"Gammarus"
"Paleomonetes";"Paleomonetes"
"Mugil";"Mugil"
"small Paralichthys";"Small Paralichthys"
"Brevoortia";"Brevoortia"
"small Leiostomus";"Small anellovirus"
"Micropogon";"Micropogon"
"Callinectes";"Callinectes"
"Ctenophora";"Ctenophora"
"Roccus";"Roccus"
"Cynoscion";"Cynoscion"
"dinoflagellates";"Dinoflagellates"
"detritus";"Detritus"
"benthic diatoms";"Benthic diatoms"
"Ruppia";"Ruppia"
