"Copeland, B. J.,Tenore, K.R. and Horton, D.B. (1974). Oligohaline regime. in: H. T. Odum, B. J. Copeland, and E. A. McMahan, (eds). Coastal ecological systems of the United States. Volume 2. (The Conservation Foundation, Washington, DC). ",,,,,,,,,,
Pamlico estuary - North Carolina,Acartia tonsa - harpacticoids,Rangia,Gammarus - Paleomonetes,Mugil,small Paralichthys,Brevoortia,small Leiostomus - Micropogon,Callinectes,Ctenophora,Roccus - Cynoscion
detritus,0,1,0,1,0,0,0,0,0,0
dinoflagellates,1,1,0,1,0,0,0,0,0,0
benthic diatoms,0,1,1,1,0,0,0,0,0,0
Ruppia,0,0,0,0,0,0,0,1,0,0
Acartia tonsa - harpacticoids,0,0,0,0,1,1,1,0,1,0
Rangia,0,0,0,0,0,0,0,1,0,0
Gammarus - Paleomonetes,0,0,0,0,1,0,1,1,0,0
Mugil,0,0,0,0,0,0,0,0,0,1
Brevoortia,0,0,0,0,0,0,0,0,0,1
small Leiostomus - Micropogon,0,0,0,0,0,0,0,0,0,1
