"Cornejo-Donoso, J., and Antezana, T. (2008). Preliminary trophic model of the Antarctic Peninsula Ecosystem (Sub-area CCAMLR 48.1). Ecological Modelling. 218, pp. 1-17.",,,,,,,,,,,,,,,,,,,,,,,,,,
Diet composition of principal components - Antarctic Peninsula Ecosystem - Sub area CCAMLR 481,Zooplankton,Krill larvae,Krill adult,Salps,Benthic infauna,Benthic epifauna,Notothenia rossii,Small demersals,Medium demersals,Large demersals,Electrona antarctica,Small pelagics,Medium pelagics,Large pelagics,Cephalopods,A. gazella,Mirounga leonina,L. carcinophagus,Hydrurga leptonyx,L. weddellii/O. rossii,Penguins,Birds,B. acutorostrata,Baleen whales,P. macrocephalus,O. orca
Phytoplankton,0.9,0.8,0.7,0.9,0.5,0.11,0,0,0,0,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zooplankton,0.1,0.2,0.3,0.1,0.01,0,0.19,0.48,0.22,0.09,0.1,0.16,0.2,0.01,0.15,0.02,0,0.02,0,0.01,0,0.01,0.01,0.02,0,0
Krill larvae,0,0,0,0.01,0.01,0,0.16,0.1,0.01,0.1,0.38,0.2,0.11,0.02,0.05,0.03,0,0.01,0,0.01,0.25,0.06,0.02,0.08,0,0
Krill adult,0,0,0,0,0.01,0,0.23,0.21,0.23,0.24,0.41,0.41,0.61,0.09,0.23,0.17,0,0.27,0,0.03,0.66,0.54,0.37,0.16,0,0
Salps,0,0,0,0,0.01,0,0.02,0.02,0.01,0.1,0.02,0,0,0,0,0.03,0,0.14,0,0.01,0,0.01,0.1,0.03,0,0
Benthic infauna,0,0,0,0,0.01,0.01,0,0.09,0.07,0.01,0,0.3,0,0.01,0.02,0,0.01,0.01,0,0.01,0,0,0,0,0.01,0
Benthic epifauna,0,0,0,0,0,0.02,0,0.09,0.12,0.21,0,0.01,0.05,0.08,0,0,0.01,0.01,0,0.01,0,0,0,0,0.01,0
Notothenia rossii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.13,0.02,0.1,0,0,0,0.02,0.06,0.04
Small demersals,0,0,0,0,0,0,0.18,0,0.1,0.21,0,0.04,0.01,0.27,0,0.19,0.06,0,0.06,0.04,0.02,0.04,0.03,0.02,0.06,0.04
Medium demersals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0.13,0.02,0.1,0.02,0.04,0.01,0,0.06,0.04
Large demersals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0.13,0.02,0.1,0,0,0.01,0,0,0.04
Electrona antarctica,0,0,0,0,0,0,0,0,0.13,0,0,0.04,0.01,0.27,0.51,0.18,0.06,0,0.06,0.04,0.02,0.04,0.22,0.27,0.04,0.04
Small pelagics,0,0,0,0,0,0,0.22,0,0.1,0.21,0,0.04,0.01,0.27,0,0.19,0.06,0,0.06,0.04,0.02,0.04,0.22,0.27,0.04,0.04
Medium pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0.13,0.1,0.1,0.01,0.02,0.01,0.01,0.04,0.04
Large pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0.14,0.1,0.1,0.01,0.01,0.01,0.01,0.04,0.04
Cephalopods,0,0,0,0,0,0,0,0,0.001,0.01,0,0,0,0.01,0.04,0.02,0.53,0.01,0.6,0.28,0.01,0.2,0,0.12,0.66,0.04
A. gazella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06
Mirounga leonina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
L. carcinophagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
Hydrurga leptonyx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
L. weddellii/O. rossii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
Penguins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.1
Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.08
B. acutorostrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baleen whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. macrocephalus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O. orca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0,0,0,0.93,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
