"sp_taxon_1";"sp_taxon_2";"value";"type"
"Sea mammals";"Croakers";0,129;"predation"
"Sea mammals";"Jacks";0,027;"predation"
"Sea mammals";"Catfish";0,35;"predation"
"Sea mammals";"Herrings";0,268;"predation"
"Sea mammals";"Mojarras";0,084;"predation"
"Sea mammals";"Shrimp";0,141;"predation"
"Rays";"Sea mammals";0,001;"predation"
"Rays";"Rays";0,005;"predation"
"Rays";"Catfish";0,2;"predation"
"Rays";"Flatfish";0,017;"predation"
"Rays";"Mollies";0,009;"predation"
"Rays";"Gobies";0,012;"predation"
"Rays";"Toadfish";0,086;"predation"
"Rays";"Mullets";0,006;"predation"
"Rays";"Fat Sleepers";0,009;"predation"
"Rays";"Swimming crabs";0,026;"predation"
"Rays";"Shrimp";0,26;"predation"
"Rays";"Polychaetes";0,098;"predation"
"Rays";"Bivalves";0,029;"predation"
"Rays";"Gastropods";0,008;"predation"
"Rays";"Wigeongrass";0,236;"predation"
"Croakers";"Snappers";0,001;"predation"
"Croakers";"Catfish";0,105;"predation"
"Croakers";"Flatfish";0,011;"predation"
"Croakers";"Halfbeaks";0,007;"predation"
"Croakers";"Mojarras";0,166;"predation"
"Croakers";"Gobies";0,009;"predation"
"Croakers";"Needlefish";0,007;"predation"
"Croakers";"Swimming crabs";0,011;"predation"
"Croakers";"Shrimp";0,153;"predation"
"Croakers";"Polychaetes";0,337;"predation"
"Croakers";"Bivalves";0,136;"predation"
"Croakers";"Detritus";0,056;"commensalism"
"Snappers";"Croakers";0,026;"predation"
"Snappers";"Jacks";0,007;"predation"
"Snappers";"Snooks";0,007;"predation"
"Snappers";"Flatfish";0,026;"predation"
"Snappers";"Herrings";0,138;"predation"
"Snappers";"Mojarras";0,129;"predation"
"Snappers";"Mollies";0,026;"predation"
"Snappers";"Gobies";0,344;"predation"
"Snappers";"Mexican mojarras";0,077;"predation"
"Snappers";"Shrimp";0,121;"predation"
"Snappers";"Wigeongrass";0,099;"predation"
"Jacks";"Snooks";0,029;"predation"
"Jacks";"Catfish";0,025;"predation"
"Jacks";"Herrings";0,045;"predation"
"Jacks";"Mojarras";0,186;"predation"
"Jacks";"Gobies";0,079;"predation"
"Jacks";"Mullets";0,011;"predation"
"Jacks";"Swimming crabs";0,022;"predation"
"Jacks";"Shrimp";0,108;"predation"
"Jacks";"Infauna";0,364;"predation"
"Jacks";"Bivalves";0,082;"predation"
"Jacks";"Gastropods";0,005;"predation"
"Jacks";"Detritus";0,045;"commensalism"
"Snooks";"Croakers";0,029;"predation"
"Snooks";"Snappers";0,003;"predation"
"Snooks";"Jacks";0,005;"predation"
"Snooks";"Catfish";0,358;"predation"
"Snooks";"Flatfish";0,009;"predation"
"Snooks";"Herrings";0,027;"predation"
"Snooks";"Mojarras";0,283;"predation"
"Snooks";"Mollies";0,002;"predation"
"Snooks";"Gobies";0,008;"predation"
"Snooks";"Mexican mojarras";0,093;"predation"
"Snooks";"Pinfish";0,011;"predation"
"Snooks";"Mullets";0,006;"predation"
"Snooks";"Swimming crabs";0,026;"predation"
"Snooks";"Crayfish";0,012;"predation"
"Snooks";"Shrimp";0,111;"predation"
"Snooks";"Infauna";0,015;"predation"
"Catfish";"Snooks";0,003;"predation"
"Catfish";"Catfish";0,008;"predation"
"Catfish";"Flatfish";0,001;"predation"
"Catfish";"Halfbeaks";0,004;"predation"
"Catfish";"Herrings";0,003;"predation"
"Catfish";"Mojarras";0,034;"predation"
"Catfish";"Gobies";0,003;"predation"
"Catfish";"Swimming crabs";0,001;"predation"
"Catfish";"Shrimp";0,013;"predation"
"Catfish";"Infauna";0,056;"predation"
"Catfish";"Polychaetes";0,216;"predation"
