"name";"bold";"eol";"tsn";"ncbi"
"Mammalia";62;11144417;179913;40674
"Micropogonias undulatus";99814;7224548;169283;29154
"Centropomus undecimalis";52759;7214412;167648;28806
"Siluriformes";261;11161025;163992;7995
"Pleuronectiformes";240;11148852;172702;8252
"Hemiramphidae";1325;12225019;553172;88694
"Poecilia";23529;10172849;165900;8080
"Gobiidae";1859;11149495;171746;8220
"Batrachoididae";1372;12226571;164412;8065
"Lagodon rhomboides";52244;7226776;169187;50351
"Dormitator";53873;7254865;636825;86229
"Portunidae";1507;6328659;98689;6757
"Astacoidea";NA;5810186;650495;6724
"Caridea";NA;5810177;614577;6694
"Infauna";NA;NA;NA;NA
"Wigeongrass";NA;NA;NA;NA
