"sp_taxon_1";"sp_taxon_2";"value"
"Lumbrinereis";"organic matter";"1"
"Clymenella";"organic matter";"1"
"Anurida";"organic debris";"1"
"Gammarus";"organic debris";"1"
"Talorchestia";"organic debris";"1"
"Mya";"plankton";"1"
"Mya";"detritus";"1"
"Ensis";"plankton";"1"
"Ensis";"detritus";"1"
"Macoma";"plankton";"1"
"Macoma";"detritus";"1"
"Solemya";"plankton";"1"
"Solemya";"detritus";"1"
"Gemma";"plankton";"1"
"Gemma";"detritus";"1"
"Fundulus";"plankton";"1"
"Fundulus";"detritus";"1"
"fish fry";"plankton";"1"
"fish fry";"detritus";"1"
"Littorina littorea";"Chaetomorpha";"1"
"Littorina littorea";"Ulva";"1"
"Littorina littorea";"other algae";"1"
"Onoba";"Chaetomorpha";"1"
"Onoba";"Ulva";"1"
"Onoba";"other algae";"1"
"Crago";"organic matter";"1"
"Crago";"Lumbrinereis";"1"
"Crago";"Clymenella";"1"
"Glycera";"Lumbrinereis";"1"
"Glycera";"Clymenella";"1"
"Nereis";"Lumbrinereis";"1"
"Nereis";"Clymenella";"1"
"Cerebratulus";"Lumbrinereis";"1"
"Cerebratulus";"Clymenella";"1"
"Glycera";"Mya";"1"
"Glycera";"Ensis";"1"
"Glycera";"Macoma";"1"
"Glycera";"Solemya";"1"
"Nereis";"Mya";"1"
"Nereis";"Ensis";"1"
"Nereis";"Macoma";"1"
"Nereis";"Solemya";"1"
"Cerebratulus";"Mya";"1"
"Cerebratulus";"Ensis";"1"
"Cerebratulus";"Macoma";"1"
"Cerebratulus";"Solemya";"1"
"Megaceryle";"Fundulus";"1"
"Megaceryle";"fish fry";"1"
"Sterna";"Fundulus";"1"
"Sterna";"fish fry";"1"
"Polinices";"Mya";"1"
"Polinices";"Ensis";"1"
"Polinices";"Macoma";"1"
"Polinices";"Solemya";"1"
"Nassarius";"Mya";"1"
"Nassarius";"Ensis";"1"
"Nassarius";"Macoma";"1"
"Nassarius";"Solemya";"1"
"Polinices";"Gemma";"1"
"Nassarius";"Gemma";"1"
"Polinices";"Littorina littorea";"1"
"Polinices";"Onoba";"1"
"Nassarius";"Littorina littorea";"1"
"Nassarius";"Onoba";"1"
"Limulus";"Lumbrinereis";"1"
"Limulus";"Clymenella";"1"
"Limulus";"Gammarus";"1"
"Limulus";"Talorchestia";"1"
"Limulus";"Mya";"1"
"Limulus";"Ensis";"1"
"Limulus";"Macoma";"1"
"Limulus";"Solemya";"1"
"Limulus";"Gemma";"1"
"Limulus";"Glycera";"1"
"Limulus";"Nereis";"1"
"Limulus";"Cerebratulus";"1"
"Pagurus";"organic debris";"1"
"Cancer";"organic debris";"1"
"Carcinides";"organic debris";"1"
"Myoxocephalus";"organic debris";"1"
"Pagurus";"Lumbrinereis";"1"
"Pagurus";"Clymenella";"1"
"Cancer";"Lumbrinereis";"1"
"Cancer";"Clymenella";"1"
