"original_name";"name_clear"
"Acmaea";"Acmaea"
"Crepidula";"Crepidula"
"Littorina littorea";"Littorina littorea"
"L. obtusata";"Littorina obtusata"
"L. saxatilis";"Littorina saxatilis"
"Mytilus";"Mytilus"
"Balanus";"Balanus"
"Sertularia";"Sertularia"
"Metridium";"Metridium"
"Obelia";"Obelia"
"Clava";"Clava"
"Spirorbis";"Spirorbis"
"Anurida";"Anurida"
"Gammarus";"Gammarus"
"Orchestia";"Orchestia"
"Thais";"Thais"
"Asterias";"Asterias"
"Carcinides";"Carcinides"
"Cancer";"Cancer"
"Myoxocephalus";"Myoxocephalus"
"Tautogolabrus";"Tautogolabrus"
"Fundulus";"Fundulus"
"Ascophyllum";"Ascophyllum"
"Fucus";"Fucus"
"Ulva";"Ulva"
"other algae";"Algae"
"plankton";"Plankton"
"suspended detritus";"Suspended Detritus"
"organic debris";"Organic debris"
