"original_name";"name_clear"
"Fundulus";"Fundulus"
"fish fry";"Pisces"
"Chalina";"Chalina"
"Mytilus";"Mytilus"
"Gemma";"Gemma"
"Abietinaria";"Abietinaria"
"Sertularia";"Sertularia"
"Metridium";"Metridium"
"Lichenophora";"Lichenophora"
"isopods";"Isopods"
"Gammarus";"Gammarus"
"Caprella";"Caprella"
"Littorina littorea";"Littorina littorea"
"Strongylocentrotus";"Strongylocentrotus"
"Crago";"Crago"
"annelids";"Annelids"
"Scomber";"Scomber"
"Clupea";"Clupea"
"Loligo";"Loligo"
"Pagurus";"Pagurus"
"Cancer";"Cancer"
"Polinices";"Polinices"
"Limulus";"Limulus"
"Raja";"Raja"
"Asterias";"Asterias"
"Pomatomus";"Pomatomus"
"Poronatus";"Poronatus"
"Myoxocephalus";"Myoxocephalus"
"Phoca";"Phoca"
"Sterna";"Sterna"
"plankton";"Plankton"
"detritus";"Detritus"
"organic debris";"Organic debris"
"macroalgae";"Macroalgae"
"organic matter in mud";"Organic matter in mud"
