"name";"bold";"eol";"tsn";"ncbi"
"Fundulus";3919;10171142;165647;8077
"Chalina";NA;7620952;47793;NA
"Mytilus";2434;5694855;79455;6548
"Gemma";80273;6161946;9713;345460
"Abietinaria";714417;12114439;49950;308598
"Sertularia";593649;5768146;49901;308590
"Metridium";28214;11147197;52740;6115
"Lichenophora";327365;7517416;NA;NA
"Isopods";NA;NA;92120;29979
"Caprella";4737;11159069;95392;244428
"Strongylocentrotus";27320;6019672;157971;7664
"Crago";NA;NA;97137;NA
"Annelids";NA;NA;NA;NA
"Scomber";3527;11166484;165612;13675
"Clupea";3916;11158131;161724;7949
"Loligo";3627;11172426;82374;6616
"Pagurus";4927;10180011;97779;6746
"Cancer";5094;6993436;34272;6754
"Polinices";149539;12184351;72914;219135
"Limulus";5324;5720905;520423;6849
"Raja";6831;7017024;55120;7780
"Asterias";24750;12276291;8362;7601
"Pomatomus";3799;12192054;168559;75033
"Poronatus";NA;NA;NA;NA
"Myoxocephalus";3637;7317513;167315;8095
"Phoca";4063;6275766;26892;9717
"Sterna";4465;8069495;82764;70608
"Organic matter in mud";NA;NA;NA;NA
"Acmaea";2014;8036816;69663;58791
"Crepidula";6176;5683072;72623;52628
"Littorina obtusata";27985;5993114;204995;31218
"Littorina saxatilis";80154;5847613;204991;31220
"Balanus";27882;12108501;89602;6677
"Obelia";27176;12117594;34507;32569
"Clava";493983;6486150;4966;498517
"Spirorbis";81191;11151480;68252;272742
"Anurida";96749;5643767;100186;64692
"Orchestia";5323;6624090;95037;92170
"Thais";2352;6199916;73314;52924
"Carcinides";NA;NA;NA;NA
"Tautogolabrus";34584;7213613;615811;34786
"Ascophyllum";53986;11147455;NA;52968
"Fucus";53988;11181295;11275;3011
"Ulva";262616;6931909;6522;3118
"Suspended Detritus";NA;NA;NA;NA
"Clymenella";27309;11179891;67530;292502
"Talorchestia";88418;6624136;95055;191376
"Mya";2363;10258792;38816;6603
"Ensis";326828;7225954;264;6586
"Macoma";88399;12184631;81036;52799
"Solemya";148878;5857815;79319;13267
"Onoba";306828;5675028;71008;707136
"Megaceryle";115080;10205934;178109;176941
"Nassarius";6418;10205961;74107;6484
"Pseudopleuronectes";34586;7252667;616073;8264
"Organic matter";NA;NA;NA;NA
"Chaetomorpha";262612;11152959;6752;3185
"Brachidontes";26149;5695486;79522;40253
"Spiders";NA;NA;181130;6893
"Passeri";NA;NA;177154;NA
"Butorides";4577;8068432;174796;110670
"Corvus";4686;10258303;179725;30420
"Spartina glabra";NA;NA;NA;NA
"Marsh insects";NA;NA;NA;NA
"Melampus";85015;7197097;76460;145630
"Philoscia";251435;12144236;93287;115147
"Cylisticus";376091;5916366;595019;96834
"Marsh Spiders";NA;NA;NA;NA
"Pisobia";NA;NA;NA;NA
"Song birds";NA;NA;NA;NA
"Spartina patena";NA;NA;NA;NA
