"R.W. Dexter. (1947). The Marine Communities of a Tidal Inlet at Cape Ann, Massachusetts: A Study in Bio-Ecology. Ecological Monographs, 17(3), pp. 261-294. ",,,,,,,,,,
Rocky shore - Cape Ann - Massachusetts,Acmaea - Crepidula,Littorina littorea - L. obtusata - L. saxatilis,Mytilus - Balanus,Sertularia - Metridium - Obelia - Clava,Spirorbis,Anurida,Gammarus - Orchestia,Thais - Asterias,Carcinides - Cancer,Myoxocephalus - Tautogolabrus - Fundulus
Ascophyllum - Fucus - Ulva - other algae,1,1,0,0,0,0,0,0,0,0
plankton - suspended detritus,1,0,1,1,0,0,0,0,0,1
organic debris,0,0,0,0,1,1,1,0,1,1
Acmaea - Crepidula,0,0,0,0,0,0,0,0,0,1
Littorina littorea - L. obtusata - L. saxatilis,0,0,0,0,0,0,0,0,0,1
Mytilus - Balanus,0,0,0,0,0,0,0,1,1,1
Sertularia - Metridium - Obelia - Clava,0,0,0,0,0,0,0,0,1,1
Spirorbis,0,0,0,0,0,0,0,0,1,0
Gammarus - Orchestia,0,0,0,0,0,0,0,0,1,1
Thais - Asterias,0,0,0,0,0,0,0,0,0,1
Carcinides - Cancer,0,0,0,0,0,0,0,0,0,1
