"R.W. Dexter. (1947). The Marine Communities of a Tidal Inlet at Cape Ann, Massachusetts: A Study in Bio-Ecology. Ecological Monographs, 17(3), pp. 261-294. ",,,,,,,,,,,,,,,
Mudflat - Cape Ann - Massachusetts,Lumbrinereis - Clymenella,Anurida,Gammarus - Talorchestia,Mya - Ensis - Macoma - Solemya,Gemma,Fundulus - fish fry,Littorina littorea - Onoba,Crago,Glycera - Nereis - Cerebratulus,Megaceryle - Sterna,Polinices - Nassarius,Limulus,Pagurus - Cancer - Carcinides - Myoxocephalus,Tautogolabrus - Pseudopleuronectes,Asterias
organic matter,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
organic debris,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
plankton and detritus,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Chaetomorpha - Ulva - other algae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lumbrinereis - Clymenella,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
Gammarus - Talorchestia,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Mya - Ensis - Macoma - Solemya,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
Gemma,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Fundulus - fish fry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Littorina littorea - Onoba,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Crago,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Glycera - Nereis - Cerebratulus,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Polinices - Nassarius,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
