"original_name";"name_clear"
"Detritus";"Detritus"
"Sediment";"Sediment"
"Diatoms";"Diatoms"
"Unid. Macrophytes";"Macrophytes"
"Crustacean Parts";"Crustacea"
"Macroalgae";"Algae"
"Foraminifera";"Foraminifera"
"Erichsonella";"Erichsonella"
"Ostracods";"Ostracoda"
"Polychaetes";"Polychaetas"
"Gammaridean amphipods";"Gammaridean amphipods"
"Copepods";"Copepoda"
"Crepidulids";"Crepidulids"
"Caprellid amphipods";"Caprellid amphipods"
"Polychates";"Polychates"
"Ostracods 1";"Ostracoda"
"A. longimana";"A. longimana"
"Cymadusa";"Cymadusa"
"Elasmopus";"Elasmopus"
"Hippolyte";"Hippolyte"
"P. vulgaris";"P. vulgaris"
"Penaid";"Penaid"
"Sygnathus fuscus";"Sygnathus fuscus"
"Sygnathus floridae";"Sygnathus floridae"
"Gobiesoma bosci";"Gobiesoma bosci"
"Gobiesox strumosus";"Gobiesox strumosus"
