"sp_taxon_1";"sp_taxon_2";"value";"type"
"Detritus";"A. longimana";"1";"commensalism"
"Sediment";"A. longimana";"1";"commensalism"
"Nematodes";"A. longimana";"1";"predation"
"Diatoms";"A. longimana";"1";"herbivory"
"Macroalgae";"A. longimana";"1";"herbivory"
"Unid. Macrophytes";"A. longimana";"1";"herbivory"
"Detritus";"A. valida";"1";"commensalism"
"Sediment";"A. valida";"1";"commensalism"
"Unid. Macrophytes";"A. valida";"1";"herbivory"
"Detritus";"C. penantis";"1";"commensalism"
"Sediment";"C. penantis";"1";"commensalism"
"Dinoflagellates";"C. penantis";"1";"herbivory"
"Detritus";"Crangon";"1";"commensalism"
"Sediment";"Crangon";"1";"commensalism"
"Detritus";"Cymadusa";"1";"commensalism"
"Sediment";"Cymadusa";"1";"commensalism"
"Macroalgae";"Cymadusa";"1";"herbivory"
"Detritus";"Gammarus";"1";"commensalism"
"Sediment";"Gammarus";"1";"commensalism"
"Dinoflagellates";"Gammarus";"1";"herbivory"
"Unid. Macrophytes";"Gammarus";"1";"herbivory"
"Detritus";"Hippolyte";"1";"commensalism"
"Sediment";"Hippolyte";"1";"commensalism"
"Detritus";"Idotea";"1";"commensalism"
"Sediment";"Idotea";"1";"commensalism"
"Detritus";"Palaemonetes vulgaris";"1";"commensalism"
"Sediment";"Palaemonetes vulgaris";"1";"commensalism"
"Gammaridean amphipods";"Palaemonetes vulgaris";"1";"predation"
"Crustacean Parts";"Palaemonetes vulgaris";"1";"predation"
"Gammaridean amphipods";"Sygnathus fuscus";"1";"predation"
"Sediment";"Blue crab";"1";"commensalism"
"Diatoms";"Blue crab";"1";"herbivory"
"Barnacles";"Blue crab";"1";"predation"
"Bivalves";"Blue crab";"1";"predation"
