"original_name";"name_clear"
"Detritus";"Detritus"
"Sediment";"Sediment"
"Nematodes";"Nematodes"
"Diatoms";"Diatoms"
"Macroalgae";"Algae"
"Unid. Macrophytes";"Macrophytes"
"Dinoflagellates";"Pyrrophycophyta"
"Gammaridean amphipods";"Gammaridean amphipods"
"Crustacean Parts";"Crustacea"
"Barnacles";"Barnacles"
"Bivalves";"Bivalves"
"A. longimana";"A. longimana"
"A. valida";"A. valida"
"C. penantis";"C. penantis"
"Crangon";"Crangon"
"Cymadusa";"Cymadusa"
"Gammarus";"Gammarus"
"Hippolyte";"Hippolyte"
"Idotea";"Idotea"
"Palaemonetes vulgaris";"Palaemonetes vulgaris"
"Sygnathus fuscus";"Sygnathus fuscus"
"Blue crab";"Blue crab"
