"name";"bold";"eol";"tsn";"ncbi"
"Unid. Protista";NA;NA;NA;NA
"Zostera";411814;5767728;60069;27257
"Gammaridean amphipods";NA;NA;NA;NA
"Polychates";NA;NA;NA;NA
"Ampithoe longimana";81312;6628657;93423;134542
"Caprella penantis";515048;6989034;95419;1282972
"Crangon";5537;6332934;93940;98082
"Cymadusa compta";171010;6324338;93430;134548
"Erichsonella attenuata";599514;5916937;92618;294132
"Gammarus mucronatus";96269;6626362;93784;315708
"Idotea balthica";123886;5916974;542674;82763
"Palaemonetes";88138;6330462;96390;117982
"Sygnathus fuscus";NA;NA;NA;NA
"Barnacles";NA;NA;89589;6676
"A. longimana";NA;NA;NA;NA
"A. valida";NA;NA;NA;NA
"C. penantis";NA;NA;NA;NA
"Cymadusa";171009;6324318;656647;134547
"Hippolyte";88122;7404181;89766;294140
"Idotea";5397;5916940;92570;82762
"Palaemonetes vulgaris";142574;6330454;96391;294125
"Blue crab";NA;NA;98697;6763
"Erichsonella";599513;12137627;92621;294131
"Polychaetas";NA;NA;NA;NA
"Crepidulids";NA;NA;NA;NA
"Caprellid amphipods";NA;NA;NA;NA
"Elasmopus";267164;12258756;93764;1400848
"P. vulgaris";NA;NA;797501;NA
"Penaid";NA;NA;NA;NA
"Sygnathus floridae";NA;NA;NA;NA
"Gobiesoma bosci";NA;NA;NA;NA
"Gobiesox strumosus";212433;7430076;164460;1500692
