"Douglas, J.G., Duffy, J.E., and Canuel, E.A. (2011). Food Web Structure in a Chesapeake Bay Eelgrass Bed as Determined through Gut Contents and 13C and 15N Isotope Analysis. Estuaries and Coasts. 34, pp. 701-711.",,,,,,,,,,,
Zostera marina (eelgrass) - Seagrass Foodweb matrix (gut contents) - April 2005 - Goodwin Islands - USA,Ampithoe longimana,Ampithoe valida,Caprella penantis,Crangon,Cymadusa compta,Erichsonella attenuata,Gammarus mucronatus,Idotea balthica,Palaemonetes,Sygnathus fuscus,Callinectes sapidus
Detritus,1,1,1,1,1,1,1,1,1,0,0
Sediment,1,1,1,1,1,1,1,1,0,0,1
Crustacean Parts,0,0,0,0,0,0,0,1,0,0,0
Dinoflagellates,1,0,1,0,1,1,1,1,0,0,0
Macroalgae,1,0,0,1,1,1,0,1,0,0,0
Diatoms,1,0,1,0,1,1,0,0,0,0,0
Zostera,0,0,0,0,1,1,1,1,0,0,0
Polychaete,0,0,0,1,0,0,0,0,0,0,0
Unid. Protista,0,0,1,0,0,0,0,0,0,0,0
Unid. Bacteria,0,0,0,0,1,0,0,0,0,0,0
Ostracods,0,0,0,0,0,0,0,0,1,0,0
Gammaridean amphipods,0,0,0,0,0,0,0,0,0,1,0
Copepods,0,0,0,0,0,0,0,0,0,1,0
Polychates,0,0,0,0,0,0,0,0,0,0,1
