"sp_taxon_1";"sp_taxon_2";"value";"type"
"Cerastoderma edule";"Marine POM I";1;"predation"
"Cerastoderma edule";"Marine POM II";1;"predation"
"Cerastoderma edule";"Microphytobenthos";1;"herbivory"
"Ruditapes decussatus";"Marine POM I";1;"predation"
"Ruditapes decussatus";"Marine POM II";1;"predation"
"Ruditapes decussatus";"Microphytobenthos";1;"herbivory"
"Mytilus galloprovincialis";"Marine POM I";1;"predation"
"Mytilus galloprovincialis";"Marine POM II";1;"predation"
"Mytilus galloprovincialis";"Marine POM III";1;"predation"
"Mytilus galloprovincialis";"Microphytobenthos";1;"herbivory"
"Scrobicularia plana";"Marine POM II";1;"predation"
"Scrobicularia plana";"Microphytobenthos";1;"herbivory"
"Littorina littorea from rocks";"Microphytobenthos";1;"herbivory"
"Littorina littorea from rocks";"Ascophyllum nodosum";1;"herbivory"
"Littorina littorea from rocks";"Enteromorpha intestinalis";1;"herbivory"
"Littorina littorea from rocks";"Fucus vesiculosus";1;"herbivory"
"Littorina littorea from rocks";"Ulva spp.";1;"herbivory"
"Littorina littorea from rocks";"Zostera marina";1;"predation"
"Littorina littorea from Z. marina";"Microphytobenthos";1;"herbivory"
"Littorina littorea from Z. marina";"Ascophyllum nodosum";1;"herbivory"
"Littorina littorea from Z. marina";"Enteromorpha intestinalis";1;"herbivory"
"Littorina littorea from Z. marina";"Fucus vesiculosus";1;"herbivory"
"Littorina littorea from Z. marina";"Ulva spp.";1;"herbivory"
"Littorina littorea from Z. marina";"Zostera marina";1;"predation"
"Littorina obtusata";"Microphytobenthos";1;"herbivory"
"Littorina obtusata";"Enteromorpha intestinalis";1;"herbivory"
"Littorina obtusata";"Fucus vesiculosus";1;"herbivory"
"Littorina obtusata";"Ulva spp.";1;"herbivory"
"Littorina obtusata";"Zostera marina";1;"predation"
"Gammarus sp.";"Sediment";1;"predation"
"Gammarus sp.";"Microphytobenthos";1;"herbivory"
"Gammarus sp.";"Ascophyllum nodosum";1;"herbivory"
"Gammarus sp.";"Enteromorpha intestinalis";1;"herbivory"
"Gammarus sp.";"Ulva spp.";1;"herbivory"
"Palaemon adspersus";"Fucus vesiculosus";1;"herbivory"
"Palaemon adspersus";"Ulva spp.";1;"herbivory"
"Palaemon adspersus";"Littorina littorea from rocks";1;"predation"
"Palaemon adspersus";"Littorina littorea from Z. marina";1;"predation"
"Palaemon adspersus";"Littorina obtusata";1;"predation"
"Palaemon adspersus";"Scrobicularia plana";1;"predation"
"Palaemon adspersus";"Arenicola marina";1;"predation"
"Arenicola marina";"Sediment";1;"predation"
"Arenicola marina";"Microphytobenthos";1;"herbivory"
"Arenicola marina";"Ascophyllum nodosum";1;"herbivory"
"Arenicola marina";"Enteromorpha intestinalis";1;"herbivory"
"Arenicola marina";"Fucus vesiculosus";1;"herbivory"
"Arenicola marina";"Ulva spp.";1;"herbivory"
"Arenicola marina";"Zostera marina";1;"predation"
"Nucella lapillus";"Littorina obtusata";1;"predation"
"Nucella lapillus";"Mytilus galloprovincialis";1;"predation"
"Gobius niger";"Littorina littorea from rocks";1;"predation"
"Gobius niger";"Littorina littorea from Z. marina";1;"predation"
"Gobius niger";"Littorina obtusata";1;"predation"
"Gobius niger";"Cerastoderma edule";1;"predation"
"Gobius niger";"Scrobicularia plana";1;"predation"
"Gobius niger";"Arenicola marina";1;"predation"
"Gobius niger";"Nucella lapillus";1;"predation"
"Gobius niger";"Palaemon adspersus";1;"predation"
"Symphodus bailloni";"Littorina littorea from rocks";1;"predation"
"Symphodus bailloni";"Littorina littorea from Z. marina";1;"predation"
"Symphodus bailloni";"Littorina obtusata";1;"predation"
"Symphodus bailloni";"Scrobicularia plana";1;"predation"
"Symphodus bailloni";"Arenicola marina";1;"predation"
"Symphodus bailloni";"Nucella lapillus";1;"predation"
"Symphodus bailloni";"Palaemon adspersus";1;"predation"
"Sepia officinalis <67mm";"Gammarus sp.";1;"predation"
"Sepia officinalis <67mm";"Palaemon adspersus";1;"predation"
"Sepia officinalis 67-120mm";"Gobius niger";1;"predation"
"Sepia officinalis 67-120mm";"Gammarus sp.";1;"predation"
"Sepia officinalis >120mm";"Gobius niger";1;"predation"
