"original_name";"name_clear"
"Cholorocichla flaviventris";"Cholorocichla flaviventris"
"Pogoniulus bilineatus";"Pogoniulus bilineatus"
"Pycnonotus barbatus";"Pycnonotus barbatus"
"Buccanodon leucotis";"Buccanodon leucotis"
"Unidentified sp1 M_SD_008";"Unidentified"
"Zosterops pallidus";"Zosterops pallidus"
"Bycanistes buccinator";"Bycanistes buccinator"
"Lumprocolius corruscus";"Lumprocolius corruscus"
"Andropadus importunus";"Andropadus importunus"
"Tauraco porphyrocephalus";"Tauraco porphyrocephalus"
"Ficus vogelii";"Ficus vogelii"
"Bridelia micrantha";"Bridelia micrantha"
"Halleria lucida";"Halleria lucida"
"Ficus natalensis";"Ficus natalensis"
"Apodytes dimidiata";"Apodytes dimidiata"
"Trema orientalis";"Trema orientalis"
"Dovyalis longispina";"Dovyalis longispina"
"Sideroxylon inerme";"Sideroxylon inerme"
"Trichilia emetica";"Trichilia emetica"
"Vepris undulata";"Vepris undulata"
"Euclea natalensis";"Euclea natalensis"
"Antidesma venosum";"Antidesma venosum"
"Ekebergia capensis";"Ekebergia capensis"
"Mimusops caffra";"Mimusops caffra"
"Erianthemum dregei";"Erianthemum dregei"
"Strelitzia nicholai";"Strelitzia nicholai"
