"original_name";"name_clear"
"bacteria";"Bacteria"
"meiofaunal-size nematodes";"Nematoda"
"macrofaunal-size nematodes";"Nematoda"
"surface deposit-feeding polychaetes";"Polychaeta"
"sub-surface deposit-feeding polychaetes";"Sub-polychaeta"
"filter-feeding polychaetes";"Polychaeta"
"omnivore polychaetes";"Polychaeta"
"carnivore polychaetes";"Polychaeta"
"Sipuncula";"Sipuncula"
"Porifera";"Porifera"
"other macrofauna";"Other macrofauna"
"pore-water dissolved organic carbon";"Pore-water dissolved organic carbon"
"sedimentary labile detritus";"Sedimentary labile detritus"
"sedimentary refractory detritus";"Sedimentary refractory detritus"
"water column labile detritus";"Water column labile detritus"
"water column refractory detritus";"Water column refractory detritus"
