name,bold,eol,tsn,ncbi
Allactaga elater,124124,51379417,609735,73861
Allactaga major,124126,51379418,609739,233182
Allactaga severtzovi,NA,46595218,609740,NA
Allactaga sibirica,124112,51379419,609741,234626
Allocricetulus curtatus,90509,51380923,632725,1267394
Allocricetulus eversmanni,90510,46594948,632726,329634
Alticola argentatus,159685,46593650,632807,400184
Alticola barakshin,159688,46593651,632808,400185
Alticola macrotis,159687,51381060,632810,98316
Alticola semicanus,159689,46593656,632813,347518
Alticola strelzowi,159686,51381066,632816,400186
Amalaraeus arvicolae,NA,52459322,NA,NA
Amalaraeus dissimilis,750959,52459328,NA,1771379
Amalaraeus ioffi,NA,NA,NA,NA
Amalaraeus penicilliger,750960,52459339,NA,488444
Amphalius runatus,NA,52459354,NA,507006
Amphipsylla anceps,NA,52458571,NA,NA
Amphipsylla argoi,NA,52458573,NA,NA
Amphipsylla asiatica,NA,52458574,NA,NA
Amphipsylla dumalis,NA,52458578,NA,NA
Amphipsylla georgica,NA,52458579,NA,NA
Amphipsylla kalabukhovi,NA,52458582,NA,NA
Amphipsylla kuznetzovi,NA,52458584,NA,NA
Amphipsylla longispina,715182,52458587,NA,1658297
Amphipsylla marikovskii,NA,NA,NA,NA
Amphipsylla montana,NA,52458593,NA,NA
Amphipsylla parthiana,NA,52458596,NA,NA
Amphipsylla phaiomydis,NA,NA,NA,NA
Amphipsylla prima,NA,52458604,NA,NA
Amphipsylla primaris,750979,52458606,NA,1658126
Amphipsylla rossica,NA,52458615,NA,NA
Amphipsylla schelkovnikovi,NA,52458616,NA,NA
Amphipsylla sibirica,NA,52458619,NA,506888
Amphipsylla vinogradovi,750980,NA,NA,1658127
Apodemus agrarius,68555,55937746,585125,39030
Apodemus flavicollis,68556,57454457,585132,54292
Apodemus fulvipectus,NA,52572459,NA,134907
Apodemus mystacinus,NA,46593852,585137,100382
Apodemus peninsulae,73312,51380200,585138,105297
Apodemus speciosus,NA,46593857,585142,105296
Apodemus sylvaticus,192593,55937764,585143,10129
Apodemus uralensis,110993,57454463,585145,134910
Arvicola terrestris,29506,51380927,NA,1047088
Atyphloceras nuperus,NA,52460899,NA,NA
Blanfordimys afghanus,NA,55937568,632820,465451
Callopsylla caspia,750961,52459367,NA,1658352
Callopsylla lagomys,NA,52459376,NA,NA
Callopsylla saxatilis,NA,52459381,NA,NA
Calomyscus mystax,162020,46594985,632753,109677
Catallagia dacenkoi,NA,52461200,NA,NA
Catallagia fetisovi,NA,52461202,NA,NA
Catallagia ioffi,NA,52461203,NA,NA
Catallagia striata,NA,52461212,NA,NA
Ceratophyllus anisus,NA,57367507,NA,360615
Ceratophyllus indages,NA,NA,NA,NA
Ceratophyllus paradoxus,NA,NA,NA,NA
Ceratophyllus sciurorum,NA,NA,NA,1335555
Ceratophyllus sinicus,NA,52459179,NA,NA
Chionomys gud,90522,57455377,632822,555454
Chionomys nivalis,329716,57455375,632823,269649
Citellophilus lebedewi,NA,NA,NA,NA
Citellophilus tesquorum,750962,52459093,NA,506900
Citellophilus transcaucasicus,NA,52459096,NA,NA
Citellophilus trispinus,NA,NA,NA,NA
Citellophilus ullus,NA,52459099,NA,NA
Clethrionomys centralis,NA,52571972,NA,537921
Clethrionomys glareolus,NA,52571973,NA,447135
Clethrionomys rufocanus,NA,52571974,NA,527686
Clethrionomys rutilus,NA,52571969,NA,537920
Coptopsylla bairamalensis,NA,NA,NA,NA
Coptopsylla lamellifer,NA,52461542,NA,2014822
Coptopsylla olgae,NA,NA,NA,NA
