"sp_taxon_1";"sp_taxon_2";"value";"type"
"bivalves";"suspended or deposited organic matter";"1";"predation"
"sedentary polychaetes";"suspended or deposited organic matter";"1";"predation"
"benthic invertebrates";"suspended or deposited organic matter";"1";"predation"
"Pinnixa rathbuni";"suspended or deposited organic matter";"1";"predation"
"Pinnixa rathbuni";"benthic invertebrates";"1";"predation"
"errant polychaetes";"suspended or deposited organic matter";"1";"predation"
"errant polychaetes";"benthic invertebrates";"1";"predation"
"Crangon affinis";"benthic invertebrates";"1";"predation"
"Metapenaeopsis dalei";"benthic invertebrates";"1";"predation"
"Erynnis japonica";"bivalves";"1";"predation"
"Erynnis japonica";"sedentary polychaetes";"1";"predation"
"Erynnis japonica";"Pinnixa rathbuni";"1";"predation"
"Limanda herzensteini";"sedentary polychaetes";"1";"predation"
"L. yokohamae";"sedentary polychaetes";"1";"predation"
"Limanda herzensteini";"errant polychaetes";"1";"predation"
"L. yokohamae";"errant polychaetes";"1";"predation"
"Chaeturichthys hexanema";"bivalves";"1";"predation"
"Chaeturichthys hexanema";"sedentary polychaetes";"1";"predation"
"Chaeturichthys hexanema";"errant polychaetes";"1";"predation"
"Liparis tanakai";"Crangon affinis";"1";"predation"
"Liparis tanakai";"Metapenaeopsis dalei";"1";"predation"
"Liparis tanakai";"Limanda herzensteini";"1";"predation"
"Liparis tanakai";"L. yokohamae";"1";"predation"
"Lophius litulon";"Limanda herzensteini";"1";"predation"
"Lophius litulon";"L. yokohamae";"1";"predation"
