"sp_taxon_1";"sp_taxon_2";"value";"type"
"Salvelinus fontinalis";"Salvelinus fontinalis";"1";"predation"
"Salvelinus fontinalis";"Notemigonus crysoleucas";"1";"predation"
"Salvelinus fontinalis";"Ictalurus nebulosus";"1";"predation"
"Salvelinus fontinalis";"fish fry";"1";"predation"
"Notemigonus crysoleucas";"Epishura lacustris";"1";"predation"
"Notemigonus crysoleucas";"C. vernalis";"1";"predation"
"Notemigonus crysoleucas";"Tropocyclops parsinus";"1";"predation"
"Notemigonus crysoleucas";"Asplanchna sp.";"1";"predation"
"Notemigonus crysoleucas";"copepod nauplii";"1";"predation"
"Notemigonus crysoleucas";"Diaptomus minutus";"1";"predation"
"Notemigonus crysoleucas";"Bosmina longirsotris";"1";"predation"
"Notemigonus crysoleucas";"Diaphanosoma birgei";"1";"predation"
"Notemigonus crysoleucas";"Holopedium gibberum";"1";"predation"
"Notemigonus crysoleucas";"Chydorus sphaericus";"1";"predation"
"Notemigonus crysoleucas";"Ceriodaphnia quadrangula";"1";"predation"
"Notemigonus crysoleucas";"Chydorus bicornutus";"1";"predation"
"Notemigonus crysoleucas";"A. affinis";"1";"predation"
"Notemigonus crysoleucas";"Ophryoxus gracilis";"1";"predation"
"Notemigonus crysoleucas";"Kelicottia bostoniensis";"1";"predation"
"Notemigonus crysoleucas";"K. crassa";"1";"predation"
"Notemigonus crysoleucas";"K. taurocephala";"1";"predation"
"Notemigonus crysoleucas";"T. multicrinis";"1";"predation"
"Notemigonus crysoleucas";"T. similis";"1";"predation"
"Notemigonus crysoleucas";"Gastropus stylifer";"1";"predation"
"Notemigonus crysoleucas";"Ploesoma truncatum";"1";"predation"
"Notemigonus crysoleucas";"P. hudsoni";"1";"predation"
"Notemigonus crysoleucas";"P. major";"1";"predation"
"Notemigonus crysoleucas";"P. remata";"1";"predation"
"Notemigonus crysoleucas";"P. vulgaris";"1";"predation"
"Notemigonus crysoleucas";"C. unicornis";"1";"predation"
"Notemigonus crysoleucas";"Lecane sp.";"1";"predation"
"Notemigonus crysoleucas";"Ascomorpha ecaudis";"1";"predation"
"Ictalurus nebulosus";"periphyton";"1";"herbivory"
"fish fry";"fish eggs";"1";"predation"
"fish fry";"Epishura lacustris";"1";"predation"
"fish fry";"C. vernalis";"1";"predation"
"fish fry";"Tropocyclops parsinus";"1";"predation"
"fish fry";"Asplanchna sp.";"1";"predation"
"fish fry";"copepod nauplii";"1";"predation"
"fish fry";"Diaptomus minutus";"1";"predation"
"fish fry";"Bosmina longirsotris";"1";"predation"
"fish fry";"Diaphanosoma birgei";"1";"predation"
"fish fry";"Holopedium gibberum";"1";"predation"
"fish fry";"Chydorus sphaericus";"1";"predation"
"fish fry";"Ceriodaphnia quadrangula";"1";"predation"
"fish fry";"Chydorus bicornutus";"1";"predation"
"fish fry";"A. affinis";"1";"predation"
"fish fry";"Ophryoxus gracilis";"1";"predation"
"fish fry";"Kelicottia bostoniensis";"1";"predation"
"fish fry";"K. crassa";"1";"predation"
"fish fry";"K. taurocephala";"1";"predation"
"fish fry";"T. multicrinis";"1";"predation"
"fish fry";"T. similis";"1";"predation"
"fish fry";"Gastropus stylifer";"1";"predation"
"fish fry";"Ploesoma truncatum";"1";"predation"
