"sp_taxon_1";"sp_taxon_2";"value";"type"
"Tropocyclops parsinus";"Mesocyclops edax";"1";"predation"
"Tropocyclops parsinus";"copepod nauplii";"1";"predation"
"Tropocyclops parsinus";"Diaptomus minutus";"1";"predation"
"Tropocyclops parsinus";"Bosmina longirsotris";"1";"predation"
"Tropocyclops parsinus";"Trichocerca cylindrica";"1";"predation"
"Tropocyclops parsinus";"K. taurocephala";"1";"predation"
"Tropocyclops parsinus";"Trichotria tetractis";"1";"predation"
"Tropocyclops parsinus";"Gymnodinium palustre";"1";"predation"
"Tropocyclops parsinus";"P. inconspicuum";"1";"herbivory"
"copepod nauplii";"Cryptomonas ovata";"1";"herbivory"
"Diaptomus minutus";"Cryptomonas ovata";"1";"herbivory"
"Diaptomus minutus";"Oocyctis sp.";"1";"herbivory"
"Diaptomus minutus";"Botryococcus braunii";"1";"predation"
"Diaptomus minutus";"Navicula sp.";"1";"predation"
"Diaptomus minutus";"M. sp.";"1";"herbivory"
"Bosmina longirsotris";"Cryptomonas ovata";"1";"herbivory"
"K. taurocephala";"Cryptomonas ovata";"1";"herbivory"
"Trichocerca cylindrica";"Cryptomonas ovata";"1";"herbivory"
"Trichotria tetractis";"Cryptomonas ovata";"1";"herbivory"
