"sp_taxon_1";"sp_taxon_2";"value";"type"
"Cyclops bicuspidatus";"Mesocyclops edax";"1";"predation"
"Cyclops bicuspidatus";"Tropocyclops parsinus";"1";"predation"
"Cyclops bicuspidatus";"Cyclops bicuspidatus";"1";"predation"
"Cyclops bicuspidatus";"Diaptomus minutus";"1";"predation"
"Cyclops bicuspidatus";"copepod nauplii";"1";"predation"
"Cyclops bicuspidatus";"Bosmina longirsotris";"1";"predation"
"Cyclops bicuspidatus";"K. taurocephala";"1";"predation"
"Cyclops bicuspidatus";"P. major";"1";"predation"
"Cyclops bicuspidatus";"T. multicrinis";"1";"predation"
"Cyclops bicuspidatus";"P. remata";"1";"predation"
"Cyclops bicuspidatus";"P. inconspicuum";"1";"herbivory"
"Mesocyclops edax";"Mesocyclops edax";"1";"predation"
"Mesocyclops edax";"Tropocyclops parsinus";"1";"predation"
"Mesocyclops edax";"Cyclops bicuspidatus";"1";"predation"
"Mesocyclops edax";"Diaptomus minutus";"1";"predation"
"Mesocyclops edax";"copepod nauplii";"1";"predation"
"Mesocyclops edax";"Bosmina longirsotris";"1";"predation"
"Mesocyclops edax";"K. taurocephala";"1";"predation"
"Mesocyclops edax";"P. major";"1";"predation"
"Mesocyclops edax";"T. multicrinis";"1";"predation"
"Mesocyclops edax";"P. remata";"1";"predation"
"Mesocyclops edax";"P. inconspicuum";"1";"herbivory"
"Tropocyclops parsinus";"Mesocyclops edax";"1";"predation"
"Tropocyclops parsinus";"Tropocyclops parsinus";"1";"predation"
"Tropocyclops parsinus";"Cyclops bicuspidatus";"1";"predation"
"Tropocyclops parsinus";"Diaptomus minutus";"1";"predation"
"Tropocyclops parsinus";"copepod nauplii";"1";"predation"
"Tropocyclops parsinus";"Bosmina longirsotris";"1";"predation"
"Tropocyclops parsinus";"K. taurocephala";"1";"predation"
"Tropocyclops parsinus";"P. major";"1";"predation"
"Tropocyclops parsinus";"T. multicrinis";"1";"predation"
"Tropocyclops parsinus";"P. remata";"1";"predation"
"Tropocyclops parsinus";"P. inconspicuum";"1";"herbivory"
"Polyphemus pediculus";"Polyphemus pediculus";"1";"predation"
"Polyphemus pediculus";"copepod nauplii";"1";"predation"
"Polyphemus pediculus";"Bosmina longirsotris";"1";"predation"
"copepod nauplii";"Cryptomonas ovata";"1";"herbivory"
"copepod nauplii";"C. erosa";"1";"herbivory"
"Diaptomus minutus";"Cryptomonas ovata";"1";"herbivory"
"Diaptomus minutus";"C. erosa";"1";"herbivory"
"Diaptomus minutus";"Oocyctis sp.";"1";"herbivory"
"Diaptomus minutus";"Sphaerocystis schroeteri";"1";"predation"
"Diaptomus minutus";"Scenedesmus sp.";"1";"herbivory"
"Diaptomus minutus";"Euastrum sp.";"1";"herbivory"
"Diaptomus minutus";"Closterium sp.";"1";"herbivory"
"Diaptomus minutus";"Asterionella formosa";"1";"herbivory"
"Diaptomus minutus";"D. sp.";"1";"herbivory"
"Diaptomus minutus";"M. sp.";"1";"herbivory"
"Bosmina longirsotris";"Cryptomonas ovata";"1";"herbivory"
"Bosmina longirsotris";"C. erosa";"1";"herbivory"
"K. taurocephala";"Cryptomonas ovata";"1";"herbivory"
"K. taurocephala";"C. erosa";"1";"herbivory"
"T. multicrinis";"Cryptomonas ovata";"1";"herbivory"
"T. multicrinis";"C. erosa";"1";"herbivory"
"P. major";"Cryptomonas ovata";"1";"herbivory"
"P. major";"C. erosa";"1";"herbivory"
"P. remata";"Cryptomonas ovata";"1";"herbivory"
"P. remata";"C. erosa";"1";"herbivory"
