"sp_taxon_1";"sp_taxon_2";"value";"type"
"Salvelinus fontinalis";"fish fry";"1";"predation"
"fish fry";"fish eggs";"1";"predation"
"fish fry";"Mesocyclops edax";"1";"predation"
"fish fry";"Eucyclops agilis";"1";"predation"
"fish fry";"Polyphemus pediculus";"1";"predation"
"fish fry";"copepod nauplii";"1";"predation"
"fish fry";"Diaptomus minutus";"1";"predation"
"fish fry";"D. leptomus";"1";"predation"
"fish fry";"D. sicilis";"1";"predation"
"fish fry";"D. catawba";"1";"predation"
"fish fry";"Bosmina longirsotris";"1";"predation"
"fish fry";"Diaphanosoma birgei";"1";"predation"
"fish fry";"Chydorus sphaericus";"1";"predation"
"fish fry";"K. taurocephala";"1";"predation"
"fish fry";"T. multicrinis";"1";"predation"
"fish fry";"T. pusilla";"1";"predation"
"fish fry";"Gastropus stylifer";"1";"predation"
"fish fry";"Synchaeta sp.";"1";"predation"
"fish fry";"Conochiloides dossuarius";"1";"predation"
"fish fry";"Zygnema sp.";"1";"herbivory"
"fish fry";"Euastrum sp.";"1";"herbivory"
"fish fry";"Closterium sp.";"1";"herbivory"
"fish fry";"Tabellaria fenestrata";"1";"herbivory"
"fish fry";"periphyton";"1";"herbivory"
"Mesocyclops edax";"Mesocyclops edax";"1";"predation"
"Mesocyclops edax";"Eucyclops agilis";"1";"predation"
"Mesocyclops edax";"copepod nauplii";"1";"predation"
"Mesocyclops edax";"Diaptomus minutus";"1";"predation"
"Mesocyclops edax";"D. leptomus";"1";"predation"
"Mesocyclops edax";"D. sicilis";"1";"predation"
"Mesocyclops edax";"Bosmina longirsotris";"1";"predation"
"Mesocyclops edax";"Chydorus sphaericus";"1";"predation"
"Mesocyclops edax";"K. taurocephala";"1";"predation"
"Mesocyclops edax";"T. multicrinis";"1";"predation"
"Mesocyclops edax";"T. pusilla";"1";"predation"
"Mesocyclops edax";"Gastropus stylifer";"1";"predation"
"Mesocyclops edax";"Synchaeta sp.";"1";"predation"
"Mesocyclops edax";"Conochiloides dossuarius";"1";"predation"
"Eucyclops agilis";"Mesocyclops edax";"1";"predation"
"Eucyclops agilis";"Eucyclops agilis";"1";"predation"
"Eucyclops agilis";"copepod nauplii";"1";"predation"
"Eucyclops agilis";"Diaptomus minutus";"1";"predation"
"Eucyclops agilis";"D. leptomus";"1";"predation"
"Eucyclops agilis";"D. sicilis";"1";"predation"
"Eucyclops agilis";"Bosmina longirsotris";"1";"predation"
"Eucyclops agilis";"Chydorus sphaericus";"1";"predation"
"Eucyclops agilis";"K. taurocephala";"1";"predation"
"Eucyclops agilis";"T. multicrinis";"1";"predation"
"Eucyclops agilis";"T. pusilla";"1";"predation"
"Eucyclops agilis";"Gastropus stylifer";"1";"predation"
"Eucyclops agilis";"Synchaeta sp.";"1";"predation"
"Eucyclops agilis";"Conochiloides dossuarius";"1";"predation"
"Polyphemus pediculus";"Polyphemus pediculus";"1";"predation"
"Polyphemus pediculus";"copepod nauplii";"1";"predation"
"Polyphemus pediculus";"Bosmina longirsotris";"1";"predation"
"Polyphemus pediculus";"Chydorus sphaericus";"1";"predation"
"copepod nauplii";"Cryptomonas ovata";"1";"herbivory"
"copepod nauplii";"C. erosa";"1";"herbivory"
"copepod nauplii";"nanoflagellates";"1";"herbivory"
"Diaptomus minutus";"Cryptomonas ovata";"1";"herbivory"
"Diaptomus minutus";"C. erosa";"1";"herbivory"
"Diaptomus minutus";"Oocyctis sp.";"1";"herbivory"
"Diaptomus minutus";"Sphaerocystis schroeteri";"1";"predation"
"Diaptomus minutus";"Schroederia setigera";"1";"herbivory"
"Diaptomus minutus";"Botryococcus braunii";"1";"predation"
"Diaptomus minutus";"Scenedesmus sp.";"1";"herbivory"
"Diaptomus minutus";"Euastrum sp.";"1";"herbivory"
"Diaptomus minutus";"Closterium sp.";"1";"herbivory"
"Diaptomus minutus";"Navicula sp.";"1";"predation"
"Diaptomus minutus";"Tabellaria fenestrata";"1";"herbivory"
"Diaptomus minutus";"M. sp.";"1";"herbivory"
"Diaptomus minutus";"Dinobryon bavaricum";"1";"herbivory"
"Diaptomus minutus";"D. sp.";"1";"herbivory"
"Diaptomus minutus";"Diceras sp.";"1";"herbivory"
"Diaptomus minutus";"Merismopedia tenuissima";"1";"herbivory"
"D. leptomus";"Cryptomonas ovata";"1";"herbivory"
"D. leptomus";"C. erosa";"1";"herbivory"
"D. leptomus";"Oocyctis sp.";"1";"herbivory"
"D. leptomus";"Sphaerocystis schroeteri";"1";"predation"
"D. leptomus";"Schroederia setigera";"1";"herbivory"
"D. leptomus";"Botryococcus braunii";"1";"predation"
"D. leptomus";"Scenedesmus sp.";"1";"herbivory"
"D. leptomus";"Euastrum sp.";"1";"herbivory"
"D. leptomus";"Closterium sp.";"1";"herbivory"
"D. leptomus";"Navicula sp.";"1";"predation"
"D. leptomus";"Tabellaria fenestrata";"1";"herbivory"
"D. leptomus";"M. sp.";"1";"herbivory"
"D. leptomus";"Dinobryon bavaricum";"1";"herbivory"
"D. leptomus";"D. sp.";"1";"herbivory"
"D. leptomus";"Diceras sp.";"1";"herbivory"
"D. leptomus";"Merismopedia tenuissima";"1";"herbivory"
"D. sicilis";"Cryptomonas ovata";"1";"herbivory"
"D. sicilis";"C. erosa";"1";"herbivory"
"D. sicilis";"Oocyctis sp.";"1";"herbivory"
"D. sicilis";"Sphaerocystis schroeteri";"1";"predation"
"D. sicilis";"Schroederia setigera";"1";"herbivory"
"D. sicilis";"Botryococcus braunii";"1";"predation"
"D. sicilis";"Scenedesmus sp.";"1";"herbivory"
"D. sicilis";"Euastrum sp.";"1";"herbivory"
"D. sicilis";"Closterium sp.";"1";"herbivory"
"D. sicilis";"Navicula sp.";"1";"predation"
"D. sicilis";"Tabellaria fenestrata";"1";"herbivory"
"D. sicilis";"M. sp.";"1";"herbivory"
"D. sicilis";"Dinobryon bavaricum";"1";"herbivory"
