"sp_taxon_1";"sp_taxon_2";"value";"type"
"Semotilus atromaculatus";"Mesocyclops edax";"1";"predation"
"Semotilus atromaculatus";"Tropocyclops parsinus";"1";"predation"
"Semotilus atromaculatus";"copepod nauplii";"1";"predation"
"Semotilus atromaculatus";"Diaptomus minutus";"1";"predation"
"Semotilus atromaculatus";"D. sicilis";"1";"predation"
"Semotilus atromaculatus";"Bosmina longirsotris";"1";"predation"
"Semotilus atromaculatus";"Diaphanosoma birgei";"1";"predation"
"Semotilus atromaculatus";"Kelicottia bostoniensis";"1";"predation"
"Semotilus atromaculatus";"Keratella cochlearis";"1";"predation"
"Semotilus atromaculatus";"K. crassa";"1";"predation"
"Semotilus atromaculatus";"K. taurocephala";"1";"predation"
"Semotilus atromaculatus";"T. multicrinis";"1";"predation"
"Semotilus atromaculatus";"P. major";"1";"predation"
"Semotilus atromaculatus";"Synchaeta sp.";"1";"predation"
"Semotilus atromaculatus";"Conochiloides dossuarius";"1";"predation"
"Semotilus atromaculatus";"P. wisconsinense";"1";"predation"
"Semotilus atromaculatus";"P. inconspicuum";"1";"herbivory"
"Semotilus atromaculatus";"Zygnema sp.";"1";"herbivory"
"Semotilus atromaculatus";"Asterionella formosa";"1";"herbivory"
"Semotilus atromaculatus";"Fragillaria crotonensis";"1";"herbivory"
"Semotilus atromaculatus";"Nitzschia sp.";"1";"herbivory"
"Semotilus atromaculatus";"periphyton";"1";"herbivory"
"Notemigonus crysoleucas";"Mesocyclops edax";"1";"predation"
"Notemigonus crysoleucas";"Tropocyclops parsinus";"1";"predation"
"Notemigonus crysoleucas";"copepod nauplii";"1";"predation"
"Notemigonus crysoleucas";"Diaptomus minutus";"1";"predation"
"Notemigonus crysoleucas";"D. sicilis";"1";"predation"
"Notemigonus crysoleucas";"Bosmina longirsotris";"1";"predation"
"Notemigonus crysoleucas";"Diaphanosoma birgei";"1";"predation"
"Notemigonus crysoleucas";"Kelicottia bostoniensis";"1";"predation"
"Notemigonus crysoleucas";"Keratella cochlearis";"1";"predation"
"Notemigonus crysoleucas";"K. crassa";"1";"predation"
"Notemigonus crysoleucas";"K. taurocephala";"1";"predation"
"Notemigonus crysoleucas";"T. multicrinis";"1";"predation"
"Notemigonus crysoleucas";"P. major";"1";"predation"
"Notemigonus crysoleucas";"Synchaeta sp.";"1";"predation"
"Notemigonus crysoleucas";"Conochiloides dossuarius";"1";"predation"
"Notemigonus crysoleucas";"Zygnema sp.";"1";"herbivory"
"Catostomus commersoni";"periphyton";"1";"herbivory"
"Ictalurus nebulosus";"periphyton";"1";"herbivory"
"fish fry";"fish eggs";"1";"predation"
"fish fry";"Mesocyclops edax";"1";"predation"
"fish fry";"Tropocyclops parsinus";"1";"predation"
"fish fry";"copepod nauplii";"1";"predation"
"fish fry";"Diaptomus minutus";"1";"predation"
"fish fry";"D. sicilis";"1";"predation"
"fish fry";"Bosmina longirsotris";"1";"predation"
"fish fry";"Diaphanosoma birgei";"1";"predation"
"fish fry";"Kelicottia bostoniensis";"1";"predation"
"fish fry";"Keratella cochlearis";"1";"predation"
"fish fry";"K. crassa";"1";"predation"
"fish fry";"K. taurocephala";"1";"predation"
"fish fry";"T. multicrinis";"1";"predation"
"fish fry";"P. major";"1";"predation"
"fish fry";"Synchaeta sp.";"1";"predation"
"fish fry";"Conochiloides dossuarius";"1";"predation"
"fish fry";"P. wisconsinense";"1";"predation"
"fish fry";"P. inconspicuum";"1";"herbivory"
"fish fry";"Zygnema sp.";"1";"herbivory"
"fish fry";"Asterionella formosa";"1";"herbivory"
"fish fry";"Fragillaria crotonensis";"1";"herbivory"
"fish fry";"Nitzschia sp.";"1";"herbivory"
"fish fry";"periphyton";"1";"herbivory"
"Mesocyclops edax";"Mesocyclops edax";"1";"predation"
"Mesocyclops edax";"Tropocyclops parsinus";"1";"predation"
"Mesocyclops edax";"copepod nauplii";"1";"predation"
"Mesocyclops edax";"Diaptomus minutus";"1";"predation"
"Mesocyclops edax";"D. sicilis";"1";"predation"
"Mesocyclops edax";"Bosmina longirsotris";"1";"predation"
"Mesocyclops edax";"Kelicottia bostoniensis";"1";"predation"
"Mesocyclops edax";"Keratella cochlearis";"1";"predation"
"Mesocyclops edax";"K. crassa";"1";"predation"
"Mesocyclops edax";"K. taurocephala";"1";"predation"
"Mesocyclops edax";"T. multicrinis";"1";"predation"
"Mesocyclops edax";"P. major";"1";"predation"
"Mesocyclops edax";"Synchaeta sp.";"1";"predation"
"Mesocyclops edax";"Conochiloides dossuarius";"1";"predation"
"Mesocyclops edax";"P. wisconsinense";"1";"predation"
"Mesocyclops edax";"P. inconspicuum";"1";"herbivory"
"Tropocyclops parsinus";"Mesocyclops edax";"1";"predation"
"Tropocyclops parsinus";"Tropocyclops parsinus";"1";"predation"
"Tropocyclops parsinus";"copepod nauplii";"1";"predation"
"Tropocyclops parsinus";"Diaptomus minutus";"1";"predation"
"Tropocyclops parsinus";"D. sicilis";"1";"predation"
"Tropocyclops parsinus";"Bosmina longirsotris";"1";"predation"
"Tropocyclops parsinus";"Kelicottia bostoniensis";"1";"predation"
"Tropocyclops parsinus";"Keratella cochlearis";"1";"predation"
"Tropocyclops parsinus";"K. crassa";"1";"predation"
"Tropocyclops parsinus";"K. taurocephala";"1";"predation"
"Tropocyclops parsinus";"T. multicrinis";"1";"predation"
"Tropocyclops parsinus";"P. major";"1";"predation"
"Tropocyclops parsinus";"Synchaeta sp.";"1";"predation"
"Tropocyclops parsinus";"Conochiloides dossuarius";"1";"predation"
"Tropocyclops parsinus";"P. wisconsinense";"1";"predation"
"Tropocyclops parsinus";"P. inconspicuum";"1";"herbivory"
"copepod nauplii";"Cryptomonas ovata";"1";"herbivory"
"copepod nauplii";"C. erosa";"1";"herbivory"
"copepod nauplii";"nanoflagellates";"1";"herbivory"
"copepod nauplii";"Carteria sp.";"1";"predation"
"Diaptomus minutus";"Cryptomonas ovata";"1";"herbivory"
"Diaptomus minutus";"C. erosa";"1";"herbivory"
"Diaptomus minutus";"Oocyctis sp.";"1";"herbivory"
"Diaptomus minutus";"Sphaerocystis schroeteri";"1";"predation"
