"sp_taxon_1";"sp_taxon_2";"value";"type"
"Salvelinus fontinalis";"Salvelinus fontinalis";"1";"predation"
"Salvelinus fontinalis";"fish fry";"1";"predation"
"fish fry";"fish eggs";"1";"predation"
"fish fry";"Mesocyclops edax";"1";"predation"
"fish fry";"Tropocyclops parsinus";"1";"predation"
"fish fry";"Eucyclops agilis";"1";"predation"
"fish fry";"copepod nauplii";"1";"predation"
"fish fry";"Diaptomus minutus";"1";"predation"
"fish fry";"D. catawba";"1";"predation"
"fish fry";"Bosmina longirsotris";"1";"predation"
"fish fry";"Diaphanosoma birgei";"1";"predation"
"fish fry";"Holopedium gibberum";"1";"predation"
"fish fry";"Kelicottia bostoniensis";"1";"predation"
"fish fry";"K. longispina";"1";"predation"
"fish fry";"K. taurocephala";"1";"predation"
"fish fry";"Synchaeta sp.";"1";"predation"
"fish fry";"Colletheca mutabilis";"1";"predation"
"fish fry";"Monostyla lunaris";"1";"predation"
"fish fry";"P. inconspicuum";"1";"herbivory"
"fish fry";"periphyton";"1";"herbivory"
"Mesocyclops edax";"Mesocyclops edax";"1";"predation"
"Mesocyclops edax";"Tropocyclops parsinus";"1";"predation"
"Mesocyclops edax";"Eucyclops agilis";"1";"predation"
"Mesocyclops edax";"copepod nauplii";"1";"predation"
"Mesocyclops edax";"Diaptomus minutus";"1";"predation"
"Mesocyclops edax";"Bosmina longirsotris";"1";"predation"
"Mesocyclops edax";"Kelicottia bostoniensis";"1";"predation"
"Mesocyclops edax";"K. longispina";"1";"predation"
"Mesocyclops edax";"K. taurocephala";"1";"predation"
"Mesocyclops edax";"Synchaeta sp.";"1";"predation"
"Mesocyclops edax";"Colletheca mutabilis";"1";"predation"
"Mesocyclops edax";"Monostyla lunaris";"1";"predation"
"Mesocyclops edax";"P. inconspicuum";"1";"herbivory"
"Tropocyclops parsinus";"Mesocyclops edax";"1";"predation"
"Tropocyclops parsinus";"Tropocyclops parsinus";"1";"predation"
"Tropocyclops parsinus";"Eucyclops agilis";"1";"predation"
"Tropocyclops parsinus";"copepod nauplii";"1";"predation"
"Tropocyclops parsinus";"Diaptomus minutus";"1";"predation"
"Tropocyclops parsinus";"Bosmina longirsotris";"1";"predation"
"Tropocyclops parsinus";"Kelicottia bostoniensis";"1";"predation"
"Tropocyclops parsinus";"K. longispina";"1";"predation"
"Tropocyclops parsinus";"K. taurocephala";"1";"predation"
"Tropocyclops parsinus";"Synchaeta sp.";"1";"predation"
"Tropocyclops parsinus";"Colletheca mutabilis";"1";"predation"
"Tropocyclops parsinus";"Monostyla lunaris";"1";"predation"
"Tropocyclops parsinus";"P. inconspicuum";"1";"herbivory"
"Eucyclops agilis";"Mesocyclops edax";"1";"predation"
"Eucyclops agilis";"Tropocyclops parsinus";"1";"predation"
"Eucyclops agilis";"Eucyclops agilis";"1";"predation"
"Eucyclops agilis";"copepod nauplii";"1";"predation"
"Eucyclops agilis";"Diaptomus minutus";"1";"predation"
"Eucyclops agilis";"Bosmina longirsotris";"1";"predation"
"Eucyclops agilis";"Kelicottia bostoniensis";"1";"predation"
"Eucyclops agilis";"K. longispina";"1";"predation"
"Eucyclops agilis";"K. taurocephala";"1";"predation"
"Eucyclops agilis";"Synchaeta sp.";"1";"predation"
"Eucyclops agilis";"Colletheca mutabilis";"1";"predation"
"Eucyclops agilis";"Monostyla lunaris";"1";"predation"
"Eucyclops agilis";"P. inconspicuum";"1";"herbivory"
"copepod nauplii";"C. erosa";"1";"herbivory"
"copepod nauplii";"nanoflagellates";"1";"herbivory"
"Diaptomus minutus";"C. erosa";"1";"herbivory"
"Diaptomus minutus";"Ankistrodesmus falcatus";"1";"herbivory"
"Diaptomus minutus";"M. sp.";"1";"herbivory"
"D. catawba";"C. erosa";"1";"herbivory"
"D. catawba";"nanoflagellates";"1";"herbivory"
"D. catawba";"Ankistrodesmus falcatus";"1";"herbivory"
"D. catawba";"M. sp.";"1";"herbivory"
"Bosmina longirsotris";"C. erosa";"1";"herbivory"
"Bosmina longirsotris";"nanoflagellates";"1";"herbivory"
"Diaphanosoma birgei";"C. erosa";"1";"herbivory"
"Diaphanosoma birgei";"nanoflagellates";"1";"herbivory"
"Holopedium gibberum";"C. erosa";"1";"herbivory"
"Holopedium gibberum";"Ankistrodesmus falcatus";"1";"herbivory"
"Holopedium gibberum";"M. sp.";"1";"herbivory"
"Kelicottia bostoniensis";"C. erosa";"1";"herbivory"
"Kelicottia bostoniensis";"nanoflagellates";"1";"herbivory"
"K. longispina";"C. erosa";"1";"herbivory"
"K. longispina";"nanoflagellates";"1";"herbivory"
"K. taurocephala";"C. erosa";"1";"herbivory"
"K. taurocephala";"nanoflagellates";"1";"herbivory"
"Synchaeta sp.";"C. erosa";"1";"herbivory"
"Synchaeta sp.";"nanoflagellates";"1";"herbivory"
"Colletheca mutabilis";"C. erosa";"1";"herbivory"
"Colletheca mutabilis";"nanoflagellates";"1";"herbivory"
"Monostyla lunaris";"C. erosa";"1";"herbivory"
"Monostyla lunaris";"nanoflagellates";"1";"herbivory"
