"sp_taxon_1";"sp_taxon_2";"value";"type"
"Salvelinus fontinalis";"Salvelinus fontinalis";"1";"predation"
"Salvelinus fontinalis";"Lepomis gibbosus";"1";"predation"
"Salvelinus fontinalis";"Ictalurus nebulosus";"1";"predation"
"Salvelinus fontinalis";"fish fry";"1";"predation"
"Lepomis gibbosus";"fish eggs";"1";"predation"
"Lepomis gibbosus";"fish fry";"1";"predation"
"Lepomis gibbosus";"C. vernalis";"1";"predation"
"Lepomis gibbosus";"Eucyclops agilis";"1";"predation"
"Lepomis gibbosus";"copepod nauplii";"1";"predation"
"Lepomis gibbosus";"Diaptomus minutus";"1";"predation"
"Lepomis gibbosus";"Bosmina longirsotris";"1";"predation"
"Lepomis gibbosus";"Chydorus sphaericus";"1";"predation"
"Lepomis gibbosus";"Ceriodaphnia quadrangula";"1";"predation"
"Lepomis gibbosus";"Kelicottia bostoniensis";"1";"predation"
"Lepomis gibbosus";"K. crassa";"1";"predation"
"Lepomis gibbosus";"K. taurocephala";"1";"predation"
"Lepomis gibbosus";"T. pusilla";"1";"predation"
"Lepomis gibbosus";"Gastropus stylifer";"1";"predation"
"Lepomis gibbosus";"Synchaeta sp.";"1";"predation"
"Lepomis gibbosus";"Conochiloides dossuarius";"1";"predation"
"Lepomis gibbosus";"Ascomorpha ecaudis";"1";"predation"
"Lepomis gibbosus";"periphyton";"1";"herbivory"
"Ictalurus nebulosus";"periphyton";"1";"herbivory"
"fish fry";"fish eggs";"1";"predation"
"fish fry";"C. vernalis";"1";"predation"
"fish fry";"Eucyclops agilis";"1";"predation"
"fish fry";"copepod nauplii";"1";"predation"
"fish fry";"Diaptomus minutus";"1";"predation"
"fish fry";"Bosmina longirsotris";"1";"predation"
"fish fry";"Chydorus sphaericus";"1";"predation"
"fish fry";"Ceriodaphnia quadrangula";"1";"predation"
"fish fry";"Kelicottia bostoniensis";"1";"predation"
"fish fry";"K. crassa";"1";"predation"
"fish fry";"K. taurocephala";"1";"predation"
"fish fry";"T. pusilla";"1";"predation"
"fish fry";"Gastropus stylifer";"1";"predation"
"fish fry";"Synchaeta sp.";"1";"predation"
"fish fry";"Conochiloides dossuarius";"1";"predation"
"fish fry";"Ascomorpha ecaudis";"1";"predation"
"fish fry";"Peridinium limbatum";"1";"herbivory"
"fish fry";"P. wisconsinense";"1";"predation"
"fish fry";"P. inconspicuum";"1";"herbivory"
"fish fry";"Gymnodinium palustre";"1";"predation"
"fish fry";"Asterionella formosa";"1";"herbivory"
"fish fry";"periphyton";"1";"herbivory"
"C. vernalis";"C. vernalis";"1";"predation"
"C. vernalis";"Eucyclops agilis";"1";"predation"
"C. vernalis";"copepod nauplii";"1";"predation"
"C. vernalis";"Diaptomus minutus";"1";"predation"
"C. vernalis";"Bosmina longirsotris";"1";"predation"
"C. vernalis";"Chydorus sphaericus";"1";"predation"
"C. vernalis";"Ceriodaphnia quadrangula";"1";"predation"
"C. vernalis";"Kelicottia bostoniensis";"1";"predation"
"C. vernalis";"K. crassa";"1";"predation"
"C. vernalis";"K. taurocephala";"1";"predation"
"C. vernalis";"T. pusilla";"1";"predation"
"C. vernalis";"Gastropus stylifer";"1";"predation"
"C. vernalis";"Synchaeta sp.";"1";"predation"
"C. vernalis";"Conochiloides dossuarius";"1";"predation"
"C. vernalis";"Ascomorpha ecaudis";"1";"predation"
"C. vernalis";"Peridinium limbatum";"1";"herbivory"
"C. vernalis";"P. wisconsinense";"1";"predation"
"C. vernalis";"P. inconspicuum";"1";"herbivory"
"C. vernalis";"Gymnodinium palustre";"1";"predation"
"Eucyclops agilis";"C. vernalis";"1";"predation"
"Eucyclops agilis";"Eucyclops agilis";"1";"predation"
"Eucyclops agilis";"copepod nauplii";"1";"predation"
"Eucyclops agilis";"Diaptomus minutus";"1";"predation"
"Eucyclops agilis";"Bosmina longirsotris";"1";"predation"
"Eucyclops agilis";"Chydorus sphaericus";"1";"predation"
"Eucyclops agilis";"Ceriodaphnia quadrangula";"1";"predation"
"Eucyclops agilis";"Kelicottia bostoniensis";"1";"predation"
"Eucyclops agilis";"K. crassa";"1";"predation"
"Eucyclops agilis";"K. taurocephala";"1";"predation"
"Eucyclops agilis";"T. pusilla";"1";"predation"
"Eucyclops agilis";"Gastropus stylifer";"1";"predation"
"Eucyclops agilis";"Synchaeta sp.";"1";"predation"
"Eucyclops agilis";"Conochiloides dossuarius";"1";"predation"
"Eucyclops agilis";"Ascomorpha ecaudis";"1";"predation"
