"sp_taxon_1";"sp_taxon_2";"value";"type"
"Perca flavescens";"fish eggs";"1";"predation"
"Perca flavescens";"fish fry";"1";"predation"
"Perca flavescens";"Mesocyclops edax";"1";"predation"
"Perca flavescens";"Tropocyclops parsinus";"1";"predation"
"Perca flavescens";"Asplanchna sp.";"1";"predation"
"Perca flavescens";"copepod nauplii";"1";"predation"
"Perca flavescens";"Diaptomus minutus";"1";"predation"
"Perca flavescens";"D. catawba";"1";"predation"
"Perca flavescens";"Bosmina longirsotris";"1";"predation"
"Perca flavescens";"Holopedium gibberum";"1";"predation"
"Perca flavescens";"Ceriodaphnia quadrangula";"1";"predation"
"Perca flavescens";"A. affinis";"1";"predation"
"Perca flavescens";"K. longispina";"1";"predation"
"Perca flavescens";"K. taurocephala";"1";"predation"
"Perca flavescens";"Gastropus stylifer";"1";"predation"
"Perca flavescens";"P. major";"1";"predation"
"Perca flavescens";"P. remata";"1";"predation"
"Perca flavescens";"C. unicornis";"1";"predation"
"Perca flavescens";"Colletheca mutabilis";"1";"predation"
"Perca flavescens";"E. triquetra";"1";"predation"
"Lepomis gibbosus";"fish eggs";"1";"predation"
"Lepomis gibbosus";"fish fry";"1";"predation"
"Lepomis gibbosus";"Mesocyclops edax";"1";"predation"
"Lepomis gibbosus";"Tropocyclops parsinus";"1";"predation"
"Lepomis gibbosus";"Asplanchna sp.";"1";"predation"
"Lepomis gibbosus";"copepod nauplii";"1";"predation"
"Lepomis gibbosus";"Diaptomus minutus";"1";"predation"
"Lepomis gibbosus";"D. catawba";"1";"predation"
"Lepomis gibbosus";"Bosmina longirsotris";"1";"predation"
"Lepomis gibbosus";"Holopedium gibberum";"1";"predation"
"Lepomis gibbosus";"Ceriodaphnia quadrangula";"1";"predation"
"Lepomis gibbosus";"A. affinis";"1";"predation"
"Lepomis gibbosus";"K. longispina";"1";"predation"
"Lepomis gibbosus";"K. taurocephala";"1";"predation"
"Lepomis gibbosus";"Gastropus stylifer";"1";"predation"
"Lepomis gibbosus";"P. major";"1";"predation"
"Lepomis gibbosus";"P. remata";"1";"predation"
"Lepomis gibbosus";"C. unicornis";"1";"predation"
"Lepomis gibbosus";"Colletheca mutabilis";"1";"predation"
"Lepomis gibbosus";"E. triquetra";"1";"predation"
"Lepomis gibbosus";"periphyton";"1";"herbivory"
"Ictalurus nebulosus";"periphyton";"1";"herbivory"
"fish fry";"fish eggs";"1";"predation"
"fish fry";"Mesocyclops edax";"1";"predation"
"fish fry";"Tropocyclops parsinus";"1";"predation"
"fish fry";"Asplanchna sp.";"1";"predation"
"fish fry";"copepod nauplii";"1";"predation"
"fish fry";"Diaptomus minutus";"1";"predation"
"fish fry";"D. catawba";"1";"predation"
