"sp_taxon_1";"sp_taxon_2";"value";"type"
"Salvelinus fontinalis";"Fundulus diaphanus";"1";"predation"
"Salvelinus fontinalis";"Rhinichthys atratulus";"1";"predation"
"Salvelinus fontinalis";"Catostomus commersoni";"1";"predation"
"Salvelinus fontinalis";"fish fry";"1";"predation"
"Fundulus diaphanus";"C. scutifer";"1";"predation"
"Fundulus diaphanus";"Mesocyclops edax";"1";"predation"
"Fundulus diaphanus";"Tropocyclops parsinus";"1";"predation"
"Fundulus diaphanus";"copepod nauplii";"1";"predation"
"Fundulus diaphanus";"Diaptomus minutus";"1";"predation"
"Fundulus diaphanus";"D. ambigua";"1";"predation"
"Fundulus diaphanus";"D. pulex";"1";"predation"
"Fundulus diaphanus";"Bosmina longirsotris";"1";"predation"
"Fundulus diaphanus";"Holopedium gibberum";"1";"predation"
"Fundulus diaphanus";"Kelicottia bostoniensis";"1";"predation"
"Fundulus diaphanus";"K. longispina";"1";"predation"
"Fundulus diaphanus";"Keratella cochlearis";"1";"predation"
"Fundulus diaphanus";"K. crassa";"1";"predation"
"Fundulus diaphanus";"K. taurocephala";"1";"predation"
"Fundulus diaphanus";"K. testudo";"1";"predation"
"Fundulus diaphanus";"Gastropus stylifer";"1";"predation"
"Fundulus diaphanus";"Conochiloides dossuarius";"1";"predation"
"Fundulus diaphanus";"C. unicornis";"1";"predation"
"Rhinichthys atratulus";"Peridinium limbatum";"1";"herbivory"
"Rhinichthys atratulus";"P. cinctum";"1";"herbivory"
"Rhinichthys atratulus";"Gymnodinium palustre";"1";"predation"
"Rhinichthys atratulus";"s. sp.";"1";"herbivory"
"Rhinichthys atratulus";"Tabellaria fenestrata";"1";"herbivory"
"Rhinichthys atratulus";"Melosira sp.";"1";"predation"
"Rhinichthys atratulus";"periphyton";"1";"herbivory"
"Catostomus commersoni";"periphyton";"1";"herbivory"
"fish fry";"fish eggs";"1";"predation"
"fish fry";"C. scutifer";"1";"predation"
"fish fry";"Mesocyclops edax";"1";"predation"
"fish fry";"Tropocyclops parsinus";"1";"predation"
"fish fry";"copepod nauplii";"1";"predation"
"fish fry";"Diaptomus minutus";"1";"predation"
"fish fry";"D. ambigua";"1";"predation"
"fish fry";"D. pulex";"1";"predation"
"fish fry";"Bosmina longirsotris";"1";"predation"
"fish fry";"Holopedium gibberum";"1";"predation"
"fish fry";"Kelicottia bostoniensis";"1";"predation"
"fish fry";"K. longispina";"1";"predation"
"fish fry";"Keratella cochlearis";"1";"predation"
"fish fry";"K. crassa";"1";"predation"
"fish fry";"K. taurocephala";"1";"predation"
"fish fry";"K. testudo";"1";"predation"
"fish fry";"Gastropus stylifer";"1";"predation"
"fish fry";"Conochiloides dossuarius";"1";"predation"
"fish fry";"C. unicornis";"1";"predation"
"fish fry";"Peridinium limbatum";"1";"herbivory"
"fish fry";"P. cinctum";"1";"herbivory"
"fish fry";"Gymnodinium palustre";"1";"predation"
"fish fry";"s. sp.";"1";"herbivory"
"fish fry";"Tabellaria fenestrata";"1";"herbivory"
"fish fry";"Melosira sp.";"1";"predation"
"fish fry";"periphyton";"1";"herbivory"
"C. scutifer";"C. scutifer";"1";"predation"
"C. scutifer";"Mesocyclops edax";"1";"predation"
"C. scutifer";"Tropocyclops parsinus";"1";"predation"
"C. scutifer";"copepod nauplii";"1";"predation"
"C. scutifer";"Diaptomus minutus";"1";"predation"
"C. scutifer";"D. ambigua";"1";"predation"
"C. scutifer";"Bosmina longirsotris";"1";"predation"
"C. scutifer";"Kelicottia bostoniensis";"1";"predation"
"C. scutifer";"K. longispina";"1";"predation"
"C. scutifer";"Keratella cochlearis";"1";"predation"
"C. scutifer";"K. crassa";"1";"predation"
"C. scutifer";"K. taurocephala";"1";"predation"
"C. scutifer";"K. testudo";"1";"predation"
"C. scutifer";"Gastropus stylifer";"1";"predation"
"C. scutifer";"Conochiloides dossuarius";"1";"predation"
"C. scutifer";"C. unicornis";"1";"predation"
"C. scutifer";"Peridinium limbatum";"1";"herbivory"
"C. scutifer";"P. cinctum";"1";"herbivory"
"C. scutifer";"Gymnodinium palustre";"1";"predation"
"Mesocyclops edax";"C. scutifer";"1";"predation"
"Mesocyclops edax";"Mesocyclops edax";"1";"predation"
"Mesocyclops edax";"Tropocyclops parsinus";"1";"predation"
"Mesocyclops edax";"copepod nauplii";"1";"predation"
"Mesocyclops edax";"Diaptomus minutus";"1";"predation"
"Mesocyclops edax";"D. ambigua";"1";"predation"
"Mesocyclops edax";"Bosmina longirsotris";"1";"predation"
"Mesocyclops edax";"Kelicottia bostoniensis";"1";"predation"
"Mesocyclops edax";"K. longispina";"1";"predation"
