"sp_taxon_1";"sp_taxon_2";"value";"type"
"Salvelinus fontinalis";"Salvelinus fontinalis";"1";"predation"
"Salvelinus fontinalis";"Catostomus commersoni";"1";"predation"
"Salvelinus fontinalis";"Ictalurus nebulosus";"1";"predation"
"Salvelinus fontinalis";"Chrosomus eos";"1";"predation"
"Salvelinus fontinalis";"fish fry";"1";"predation"
"Catostomus commersoni";"periphyton";"1";"herbivory"
"Ictalurus nebulosus";"periphyton";"1";"herbivory"
"Chrosomus eos";"Cyclops bicuspidatus";"1";"predation"
"Chrosomus eos";"Mesocyclops edax";"1";"predation"
"Chrosomus eos";"copepod nauplii";"1";"predation"
"Chrosomus eos";"Diaptomus minutus";"1";"predation"
"Chrosomus eos";"D. pulex";"1";"predation"
"Chrosomus eos";"Bosmina longirsotris";"1";"predation"
"Chrosomus eos";"K. longispina";"1";"predation"
"Chrosomus eos";"K. taurocephala";"1";"predation"
"Chrosomus eos";"P. major";"1";"predation"
"Chrosomus eos";"Gymnodinium palustre";"1";"predation"
"Chrosomus eos";"Zygnema sp.";"1";"herbivory"
"Chrosomus eos";"periphyton";"1";"herbivory"
"fish fry";"fish eggs";"1";"predation"
"fish fry";"Cyclops bicuspidatus";"1";"predation"
"fish fry";"Mesocyclops edax";"1";"predation"
"fish fry";"copepod nauplii";"1";"predation"
"fish fry";"Diaptomus minutus";"1";"predation"
"fish fry";"D. pulex";"1";"predation"
"fish fry";"Bosmina longirsotris";"1";"predation"
"fish fry";"K. longispina";"1";"predation"
"fish fry";"K. taurocephala";"1";"predation"
"fish fry";"P. major";"1";"predation"
"fish fry";"Gymnodinium palustre";"1";"predation"
"fish fry";"Zygnema sp.";"1";"herbivory"
"fish fry";"periphyton";"1";"herbivory"
"Cyclops bicuspidatus";"Cyclops bicuspidatus";"1";"predation"
"Cyclops bicuspidatus";"Mesocyclops edax";"1";"predation"
"Cyclops bicuspidatus";"copepod nauplii";"1";"predation"
"Cyclops bicuspidatus";"Diaptomus minutus";"1";"predation"
"Cyclops bicuspidatus";"Bosmina longirsotris";"1";"predation"
"Cyclops bicuspidatus";"K. longispina";"1";"predation"
"Cyclops bicuspidatus";"K. taurocephala";"1";"predation"
"Cyclops bicuspidatus";"P. major";"1";"predation"
"Cyclops bicuspidatus";"Gymnodinium palustre";"1";"predation"
"Mesocyclops edax";"Cyclops bicuspidatus";"1";"predation"
"Mesocyclops edax";"Mesocyclops edax";"1";"predation"
"Mesocyclops edax";"copepod nauplii";"1";"predation"
"Mesocyclops edax";"Diaptomus minutus";"1";"predation"
"Mesocyclops edax";"Bosmina longirsotris";"1";"predation"
"Mesocyclops edax";"K. longispina";"1";"predation"
"Mesocyclops edax";"K. taurocephala";"1";"predation"
"Mesocyclops edax";"P. major";"1";"predation"
"Mesocyclops edax";"Gymnodinium palustre";"1";"predation"
"copepod nauplii";"Cryptomonas ovata";"1";"herbivory"
"copepod nauplii";"C. erosa";"1";"herbivory"
"Diaptomus minutus";"Cryptomonas ovata";"1";"herbivory"
"Diaptomus minutus";"C. erosa";"1";"herbivory"
"Diaptomus minutus";"Oocyctis sp.";"1";"herbivory"
"Diaptomus minutus";"Sphaerocystis schroeteri";"1";"predation"
"Diaptomus minutus";"Schroederia setigera";"1";"herbivory"
"Diaptomus minutus";"Botryococcus braunii";"1";"predation"
"Diaptomus minutus";"Navicula sp.";"1";"predation"
"Diaptomus minutus";"M. sp.";"1";"herbivory"
"Diaptomus minutus";"Dinobryon bavaricum";"1";"herbivory"
"Diaptomus minutus";"M. punctata";"1";"predation"
"Diaptomus minutus";"A. flos-aquae";"1";"herbivory"
"D. pulex";"Cryptomonas ovata";"1";"herbivory"
"D. pulex";"C. erosa";"1";"herbivory"
"D. pulex";"Oocyctis sp.";"1";"herbivory"
"D. pulex";"Sphaerocystis schroeteri";"1";"predation"
"D. pulex";"Schroederia setigera";"1";"herbivory"
"D. pulex";"Botryococcus braunii";"1";"predation"
"D. pulex";"Navicula sp.";"1";"predation"
"D. pulex";"M. sp.";"1";"herbivory"
"D. pulex";"Dinobryon bavaricum";"1";"herbivory"
"D. pulex";"M. punctata";"1";"predation"
"D. pulex";"A. flos-aquae";"1";"herbivory"
"Bosmina longirsotris";"Cryptomonas ovata";"1";"herbivory"
"Bosmina longirsotris";"C. erosa";"1";"herbivory"
"K. longispina";"Cryptomonas ovata";"1";"herbivory"
"K. longispina";"C. erosa";"1";"herbivory"
"K. taurocephala";"Cryptomonas ovata";"1";"herbivory"
"K. taurocephala";"C. erosa";"1";"herbivory"
"P. major";"Cryptomonas ovata";"1";"herbivory"
"P. major";"C. erosa";"1";"herbivory"
