"sp_taxon_1";"sp_taxon_2";"value";"type"
"copepod nauplii";"Cryptomonas ovata";"1";"herbivory"
"copepod nauplii";"C. erosa";"1";"herbivory"
"copepod nauplii";"nanoflagellates";"1";"herbivory"
"Diaptomus minutus";"Cryptomonas ovata";"1";"herbivory"
"Diaptomus minutus";"C. erosa";"1";"herbivory"
"Diaptomus minutus";"Oocyctis sp.";"1";"herbivory"
"Diaptomus minutus";"Sphaerocystis schroeteri";"1";"predation"
"Diaptomus minutus";"Schroederia setigera";"1";"herbivory"
"Diaptomus minutus";"Scenedesmus sp.";"1";"herbivory"
"Diaptomus minutus";"Closterium sp.";"1";"herbivory"
"Diaptomus minutus";"M. sp.";"1";"herbivory"
"Diaptomus minutus";"Dinobryon bavaricum";"1";"herbivory"
"Diaptomus minutus";"D. sp.";"1";"herbivory"
"Diaptomus minutus";"M. punctata";"1";"predation"
"Diaptomus minutus";"A. flos-aquae";"1";"herbivory"
"Bosmina longirsotris";"Cryptomonas ovata";"1";"herbivory"
"Bosmina longirsotris";"C. erosa";"1";"herbivory"
"Bosmina longirsotris";"nanoflagellates";"1";"herbivory"
"Diaphanosoma birgei";"Cryptomonas ovata";"1";"herbivory"
"Diaphanosoma birgei";"C. erosa";"1";"herbivory"
"Diaphanosoma birgei";"nanoflagellates";"1";"herbivory"
"K. longispina";"Cryptomonas ovata";"1";"herbivory"
"K. longispina";"C. erosa";"1";"herbivory"
"K. longispina";"nanoflagellates";"1";"herbivory"
"K. taurocephala";"Cryptomonas ovata";"1";"herbivory"
"K. taurocephala";"C. erosa";"1";"herbivory"
"K. taurocephala";"nanoflagellates";"1";"herbivory"
"T. multicrinis";"Cryptomonas ovata";"1";"herbivory"
"T. multicrinis";"C. erosa";"1";"herbivory"
"T. multicrinis";"nanoflagellates";"1";"herbivory"
"Gastropus stylifer";"Cryptomonas ovata";"1";"herbivory"
"Gastropus stylifer";"C. erosa";"1";"herbivory"
"Gastropus stylifer";"nanoflagellates";"1";"herbivory"
"Synchaeta sp.";"Cryptomonas ovata";"1";"herbivory"
"Synchaeta sp.";"C. erosa";"1";"herbivory"
"Synchaeta sp.";"nanoflagellates";"1";"herbivory"
