"sp_taxon_1";"sp_taxon_2";"value";"type"
"Salvelinus fontinalis x S. namaycush";"Semotilus atromaculatus";"1";"predation"
"Salvelinus fontinalis x S. namaycush";"Notemigonus crysoleucas";"1";"predation"
"Salvelinus fontinalis x S. namaycush";"Lepomis gibbosus";"1";"predation"
"Salvelinus fontinalis x S. namaycush";"Catostomus commersoni";"1";"predation"
"Salvelinus fontinalis x S. namaycush";"Ictalurus nebulosus";"1";"predation"
"Salvelinus fontinalis x S. namaycush";"Chrosomus eos";"1";"predation"
"Salvelinus fontinalis x S. namaycush";"fish fry";"1";"predation"
"Semotilus atromaculatus";"Mesocyclops edax";"1";"predation"
"Semotilus atromaculatus";"Tropocyclops parsinus";"1";"predation"
"Semotilus atromaculatus";"copepod nauplii";"1";"predation"
"Semotilus atromaculatus";"Diaptomus minutus";"1";"predation"
"Semotilus atromaculatus";"D. ambigua";"1";"predation"
"Semotilus atromaculatus";"Bosmina longirsotris";"1";"predation"
"Semotilus atromaculatus";"Diaphanosoma birgei";"1";"predation"
"Semotilus atromaculatus";"Holopedium gibberum";"1";"predation"
"Semotilus atromaculatus";"Ceriodaphnia quadrangula";"1";"predation"
"Semotilus atromaculatus";"K. taurocephala";"1";"predation"
"Semotilus atromaculatus";"Gastropus stylifer";"1";"predation"
"Semotilus atromaculatus";"P. major";"1";"predation"
"Semotilus atromaculatus";"P. remata";"1";"predation"
"Semotilus atromaculatus";"P. inconspicuum";"1";"herbivory"
"Semotilus atromaculatus";"Cosmarium sp.";"1";"herbivory"
"Semotilus atromaculatus";"periphyton";"1";"herbivory"
"Notemigonus crysoleucas";"Mesocyclops edax";"1";"predation"
"Notemigonus crysoleucas";"Tropocyclops parsinus";"1";"predation"
"Notemigonus crysoleucas";"copepod nauplii";"1";"predation"
"Notemigonus crysoleucas";"Diaptomus minutus";"1";"predation"
"Notemigonus crysoleucas";"D. ambigua";"1";"predation"
"Notemigonus crysoleucas";"Bosmina longirsotris";"1";"predation"
"Notemigonus crysoleucas";"Diaphanosoma birgei";"1";"predation"
"Notemigonus crysoleucas";"Holopedium gibberum";"1";"predation"
"Notemigonus crysoleucas";"Ceriodaphnia quadrangula";"1";"predation"
"Notemigonus crysoleucas";"K. taurocephala";"1";"predation"
"Notemigonus crysoleucas";"Gastropus stylifer";"1";"predation"
"Notemigonus crysoleucas";"P. major";"1";"predation"
"Notemigonus crysoleucas";"P. remata";"1";"predation"
"Lepomis gibbosus";"fish eggs";"1";"predation"
"Lepomis gibbosus";"fish fry";"1";"predation"
"Lepomis gibbosus";"Mesocyclops edax";"1";"predation"
"Lepomis gibbosus";"Tropocyclops parsinus";"1";"predation"
"Lepomis gibbosus";"copepod nauplii";"1";"predation"
