"sp_taxon_1";"sp_taxon_2";"value";"type"
"Mesocyclops edax";"Mesocyclops edax";"1";"predation"
"Mesocyclops edax";"copepod nauplii";"1";"predation"
"Mesocyclops edax";"Diaptomus minutus";"1";"predation"
"Mesocyclops edax";"Chydorus sphaericus";"1";"predation"
"Mesocyclops edax";"K. taurocephala";"1";"predation"
"Mesocyclops edax";"Gastropus stylifer";"1";"predation"
"Mesocyclops edax";"Synchaeta sp.";"1";"predation"
"Mesocyclops edax";"P. inconspicuum";"1";"herbivory"
"Mesocyclops edax";"Gymnodinium palustre";"1";"predation"
"copepod nauplii";"Cryptomonas ovata";"1";"herbivory"
"copepod nauplii";"C. erosa";"1";"herbivory"
"copepod nauplii";"Chlamydomonas sp.";"1";"predation"
"Diaptomus minutus";"Cryptomonas ovata";"1";"herbivory"
"Diaptomus minutus";"C. erosa";"1";"herbivory"
"Diaptomus minutus";"s. sp.";"1";"herbivory"
"Diaptomus minutus";"Oocyctis sp.";"1";"herbivory"
"Diaptomus minutus";"Schroederia setigera";"1";"herbivory"
"Diaptomus minutus";"Spondylosium planum";"1";"herbivory"
"Diaptomus minutus";"Chlamydomonas sp.";"1";"predation"
"Diaptomus minutus";"Navicula sp.";"1";"predation"
"Diaptomus minutus";"Tabellaria fenestrata";"1";"herbivory"
"Diaptomus minutus";"Asterionella formosa";"1";"herbivory"
"Diaptomus minutus";"C. sp.";"1";"herbivory"
"Diaptomus minutus";"M. sp.";"1";"herbivory"
"Diaptomus minutus";"Dinobryon bavaricum";"1";"herbivory"
"Diaptomus minutus";"D. sp.";"1";"herbivory"
"Diaptomus minutus";"Diceras sp.";"1";"herbivory"
"Diaptomus minutus";"M. punctata";"1";"predation"
"Diaptomus minutus";"Rhabdoderma lineare";"1";"herbivory"
"Chydorus sphaericus";"Cryptomonas ovata";"1";"herbivory"
"Chydorus sphaericus";"C. erosa";"1";"herbivory"
"Chydorus sphaericus";"Chlamydomonas sp.";"1";"predation"
"Chydorus sphaericus";"periphyton";"1";"herbivory"
"K. taurocephala";"Cryptomonas ovata";"1";"herbivory"
"K. taurocephala";"C. erosa";"1";"herbivory"
"K. taurocephala";"Chlamydomonas sp.";"1";"predation"
"Gastropus stylifer";"Cryptomonas ovata";"1";"herbivory"
"Gastropus stylifer";"C. erosa";"1";"herbivory"
"Gastropus stylifer";"Chlamydomonas sp.";"1";"predation"
"Synchaeta sp.";"Cryptomonas ovata";"1";"herbivory"
"Synchaeta sp.";"C. erosa";"1";"herbivory"
"Synchaeta sp.";"Chlamydomonas sp.";"1";"predation"
