"original_name";"name_clear"
"Semotilus atromaculatus";"Semotilus atromaculatus"
"Catostomus commersoni";"Catostomus commersoni"
"Chrosomus eos";"Chrosomus eos"
"fish fry";"Fish fry"
"C. vernalis";"Cyclops vernalis"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. catawba";"Daphnia catawba"
"D. pulex";"Daphnia pulex"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"Chydorus sphaericus";"Chydorus sphaericus"
"Chydorus bicornutus";"Chydorus bicornutus"
"Ilyocryptus spinifer";"Ilyocryptus spinifer"
"Acantholeberis curvirostris";"Acantholeberis curvirostris"
"K. taurocephala";"Keratella taurocephala"
"P. major";"Polyarthra major"
"C. unicornis";"C. unicornis"
"Euchlanis sp.";"Euchlanis"
"Manfredium endactylitum";"Manfredium eudactylotum"
"Monostyla lunaris";"Monostyla lunaris"
"fish eggs";"Fish eggs"
"P. inconspicuum";"Peridinium inconspicuum"
"Ceratium carolinianum";"Ceratium carolinianum"
"Euastrum sp.";"Euastrum"
"Closterium sp.";"Closterium"
"Micrasterias sp.";"Micrasterias"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"Melosira sp.";"Melosira"
"Nitzschia sp.";"Nitzschia"
"periphyton";"Periphyton"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Schroederia setigera";"Schroederia setigera"
"Tetraedrom minimum";"Tetraedrom minimum"
"S. quadricauda";"Scenedesmus quadricauda"
"Ankistrodesmus sp.";"Ankistrodesmus"
"A. spiralis";"A_spiralis"
"Navicula sp.";"Navicula"
"Cyclotella glomerata";"Cyclotella glomerata"
"M. akrokomos";"Mallomonas akrokomos"
"Merismopedia tenuissima";"Merismopedia tenuissima"
"M. punctata";"Merismopedia punctata"
"Chroococcus limneticus";"Chroococcus limneticus"
"Rhabdoderma lineare";"Rhabdoderma lineare"
