"original_name";"name_clear"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"Catostomus commersoni";"Catostomus commersoni"
"fish fry";"Fish fry"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"Asplanchna sp.";"Asplanchna"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. catawba";"Daphnia catawba"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"A. quadrangularis";"Alona quadrangularis"
"K. longispina";"Kelicottia longispina"
"K. taurocephala";"Keratella taurocephala"
"Trichocerca cylindrica";"Trichocerca cylindrica"
"T. pusilla";"Trichocerca pusilla"
"Gastropus stylifer";"Gastropus stylifer"
"P. remata";"Polyarthra remata"
"P. vulgaris";"Polyarthra vulgaris"
"C. unicornis";"C. unicornis"
"Colletheca mutabilis";"Colletheca mutabilis"
"periphyton";"Periphyton"
"fish eggs";"Fish eggs"
"Gymnodinium palustre";"Gymnodinium palustre"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"Asterionella formosa";"Asterionella formosa"
"Melosira sp.";"Melosira"
"F. sp.";"Fragilaria"
"C. erosa";"Cryptomonas erosa"
"nanoflagellates";"Nanoflagellates"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Elakatrothrix gelatinosa";"Elakatothrix gelatinosa"
"Arthrodesmus incus";"Arthrodesmus incus"
"Botryococcus braunii";"Botryococcus braunii"
"Crucigenia quadrata";"Crucigenia quadrata"
"Spondylosium planum";"Spondylosium planum"
"Quadrigula closterioides";"Quadrigula closterioides"
"Pediastrum tetras";"Pediastrum tetras"
"S. longus";"Scenedesmus longus"
"Nephrocytium sp.";"Nephrocytium"
"Dictyosphaerium pulchellum";"Dictyosphaerium pulchellum"
"Cocconeia sp.";"Cocconeia"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"Chrysocapsa planktonica";"Chrysocapsa planktonica"
"Chrysosphaerella longispina";"Chrysosphaerella longispina"
"Merismopedia tenuissima";"Merismopedia tenuissima"
"Chroococcus limneticus";"Chroococcus limneticus"
"A. flos-aquae";"Anabaena flos-aquae"
"Lyngbya sp.";"Lyngbya"
"Rhabdoderma lineare";"Rhabdoderma lineare"
