"original_name";"name_clear"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"Salmo rutta";"Salmo trutta"
"Semotilus atromaculatus";"Semotilus atromaculatus"
"Notemigonus crysoleucas";"Notemigonus crysoleucas"
"Lepomis gibbosus";"Lepomis gibbosus"
"Catostomus commersoni";"Catostomus commersoni"
"Ictalurus nebulosus";"Ictalurus nebulosus"
"fish fry";"Fish fry"
"Epishura lacustris";"Epishura lacustris"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"Leptodora kindtii";"Leptodora kindtii"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. catawba";"Daphnia catawba"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"Kelicottia bostoniensis";"Kelicottia bostoniensis"
"K. longispina";"Kelicottia longispina"
"K. crassa";"Keratella crassa"
"K. taurocephala";"Keratella taurocephala"
"Trichocerca cylindrica";"Trichocerca cylindrica"
"P. major";"Polyarthra major"
"Conochiloides dossuarius";"Conochiloides dossuarius"
"C. unicornis";"C. unicornis"
"P. inconspicuum";"Peridinium inconspicuum"
"Gymnodinium palustre";"Gymnodinium palustre"
"Cosmarium sp.";"Cosmarium"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"Melosira sp.";"Melosira"
"periphyton";"Periphyton"
"fish eggs";"Fish eggs"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Kirchneriella lunaris";"Kirchneriella lunaris"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Schroederia setigera";"Schroederia setigera"
"Elakatrothrix gelatinosa";"Elakatothrix gelatinosa"
"Arthrodesmus incus";"Arthrodesmus incus"
"Tetraedrom minimum";"Tetraedrom minimum"
"T. caudatum";"Tetraedron caudatum"
"Botryococcus braunii";"Botryococcus braunii"
"C. tetrapaedia";"C. tetrapaedia"
"Ankistrodesmus falcatus";"Ankistrodesmus falcatus"
"Quadrigula closterioides";"Quadrigula closterioides"
"Pediastrum tetras";"Pediastrum tetras"
"Scenedesmus sp.";"Scenedesmus"
"S. longus";"Scenedesmus longus"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"Merismopedia tenuissima";"Merismopedia tenuissima"
"Anabaena sp.";"Anabaena"
"C. pallidum";"Coelosphaerium pallidum"
"R. gorksii";"R_gorksii"
