"original_name";"name_clear"
"Salvelinus namaycush";"Salvelinus namaycush"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"Salvelinus fontinalis x S. namaycush";"Salvelinus fontinalis x S. namaycush"
"Notemigonus crysoleucas";"Notemigonus crysoleucas"
"Lepomis gibbosus";"Lepomis gibbosus"
"Catostomus commersoni";"Catostomus commersoni"
"Ictalurus nebulosus";"Ictalurus nebulosus"
"fish fry";"Fish fry"
"C. vernalis";"Cyclops vernalis"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"Asplanchna sp.";"Asplanchna"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. longiremis";"Daphnia longiremis"
"D. catawba";"Daphnia catawba"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"Kelicottia bostoniensis";"Kelicottia bostoniensis"
"Keratella cochlearis";"Keratella cochlearis"
"K. crassa";"Keratella crassa"
"K. taurocephala";"Keratella taurocephala"
"K. testudo";"Keratella testudo"
"T. multicrinis";"T_multicrinis"
"T. similis";"Trichocerca similis"
"Gastropus stylifer";"Gastropus stylifer"
"Polyarthra euryptera";"Polyarthra euryptera"
"P. major";"Polyarthra major"
"P. remata";"Polyarthra remata"
"Synchaeta sp.";"Synchaeta"
"C. unicornis";"C. unicornis"
"Colletheca mutabilis";"Colletheca mutabilis"
"Lecane sp.";"Lecane"
"fish eggs";"Fish eggs"
"periphyton";"Periphyton"
"Peridinium limbatum";"Peridinium limbatum"
"P. wisconsinense";"P_wisconsinense"
"P. inconspicuum";"Peridinium inconspicuum"
"s. sp.";"Staurastrum"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Schroederia setigera";"Schroederia setigera"
"Elakatrothrix gelatinosa";"Elakatothrix gelatinosa"
"Tetraedrom minimum";"Tetraedrom minimum"
"Botryococcus braunii";"Botryococcus braunii"
"Crucigenia quadrata";"Crucigenia quadrata"
"Spondylosium planum";"Spondylosium planum"
"Ankistrodesmus sp.";"Ankistrodesmus"
"Quadrigula sp.";"Quadrigula"
"Dictyosphaerium pulchellum";"Dictyosphaerium pulchellum"
"Navicula sp.";"Navicula"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"Chrysocapsa planktonica";"Chrysocapsa planktonica"
"Chrysosphaerella longispina";"Chrysosphaerella longispina"
"Merismopedia tenuissima";"Merismopedia tenuissima"
"Chroococcus limneticus";"Chroococcus limneticus"
"R. gorksii";"R_gorksii"
