"original_name";"name_clear"
"Notemigonus crysoleucas";"Notemigonus crysoleucas"
"Ictalurus nebulosus";"Ictalurus nebulosus"
"Umbra limi";"Umbra limi"
"Chrosomus eos";"Chrosomus eos"
"fish fry";"Fish fry"
"Mesocyclops edax";"Mesocyclops edax"
"Paracyclops sp.";"Paracyclops"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Chydorus sphaericus";"Chydorus sphaericus"
"Ceriodaphnia quadrangula";"Ceriodaphnia quadrangula"
"Alona costata";"Alona costata"
"Kelicottia bostoniensis";"Kelicottia bostoniensis"
"K. crassa";"Keratella crassa"
"K. taurocephala";"Keratella taurocephala"
"K. testudo";"Keratella testudo"
"T. multicrinis";"T_multicrinis"
"T. pusilla";"Trichocerca pusilla"
"T. similis";"Trichocerca similis"
"Gastropus stylifer";"Gastropus stylifer"
"P. major";"Polyarthra major"
"Synchaeta sp.";"Synchaeta"
"Conochiloides dossuarius";"Conochiloides dossuarius"
"periphyton";"Periphyton"
"Peridinium limbatum";"Peridinium limbatum"
"P. inconspicuum";"Peridinium inconspicuum"
"Asterionella formosa";"Asterionella formosa"
"Nitzschia sp.";"Nitzschia"
"fish eggs";"Fish eggs"
"Cryptomonas ovata";"Cryptomonas ovata"
