"original_name";"name_clear"
"Ictalurus nebulosus";"Ictalurus nebulosus"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. leptomus";"Diaptomus leptopus"
"D. longiremis";"Daphnia longiremis"
"D. catawba";"Daphnia catawba"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"Chydorus sphaericus";"Chydorus sphaericus"
"Kelicottia bostoniensis";"Kelicottia bostoniensis"
"K. longispina";"Kelicottia longispina"
"K. taurocephala";"Keratella taurocephala"
"Gastropus stylifer";"Gastropus stylifer"
"P. major";"Polyarthra major"
"Synchaeta sp.";"Synchaeta"
"Conochiloides dossuarius";"Conochiloides dossuarius"
"Colletheca mutabilis";"Colletheca mutabilis"
"periphyton";"Periphyton"
"Ceratium carolinianum";"Ceratium carolinianum"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Xanthidium sp.";"Xanthidium"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Schroederia setigera";"Schroederia setigera"
"Botryococcus braunii";"Botryococcus braunii"
"Closterium sp.";"Closterium"
"Navicula sp.";"Navicula"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"Melosira sp.";"Melosira"
"Nitzschia sp.";"Nitzschia"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"D. sertularia";"Dinobryon sertularia"
"D. sp.";"Dinobryon"
"Chrysosphaerella longispina";"Chrysosphaerella longispina"
"Merismopedia tenuissima";"Merismopedia tenuissima"
"Anabaena sp.";"Anabaena"
