"original_name";"name_clear"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"fish fry";"Fish fry"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"Bosmina longirsotris";"Bosmina longirsotris"
"A. affinis";"Alona affinis"
"Kelicottia bostoniensis";"Kelicottia bostoniensis"
"K. taurocephala";"Keratella taurocephala"
"Gastropus stylifer";"Gastropus stylifer"
"P. major";"Polyarthra major"
"P. remata";"Polyarthra remata"
"Colletheca mutabilis";"Colletheca mutabilis"
"fish eggs";"Fish eggs"
"P. wisconsinense";"P_wisconsinense"
"P. inconspicuum";"Peridinium inconspicuum"
"Gymnodinium palustre";"Gymnodinium palustre"
"periphyton";"Periphyton"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Oocyctis sp.";"Oocyctis"
"Schroederia setigera";"Schroederia setigera"
"Tetraedrom minimum";"Tetraedrom minimum"
"Spondylosium planum";"Spondylosium planum"
"Scenedesmus sp.";"Scenedesmus"
"Navicula sp.";"Navicula"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"D. sp.";"Dinobryon"
"Diceras sp.";"Diceras"
"M. punctata";"Merismopedia punctata"
"Chroococcus limneticus";"Chroococcus limneticus"
"Aphanothece sp.";"Aphanothece"
"Anabaena sp.";"Anabaena"
"C. pallidum";"Coelosphaerium pallidum"
