"original_name";"name_clear"
"Ictalurus nebulosus";"Ictalurus nebulosus"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"Bosmina longirsotris";"Bosmina longirsotris"
"K. longispina";"Kelicottia longispina"
"K. taurocephala";"Keratella taurocephala"
"T. multicrinis";"T_multicrinis"
"P. major";"Polyarthra major"
"Colletheca mutabilis";"Colletheca mutabilis"
"Monostyla lunaris";"Monostyla lunaris"
"periphyton";"Periphyton"
"P. remata";"Polyarthra remata"
"P. cinctum";"Peridinium cinctum"
"Gymnodinium palustre";"Gymnodinium palustre"
"P. inconspicuum";"Peridinium inconspicuum"
"P. wisconsinense";"P_wisconsinense"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Euglena sp.";"Euglena"
"s. sp.";"Staurastrum"
"Oocyctis sp.";"Oocyctis"
"Schroederia setigera";"Schroederia setigera"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"Navicula sp.";"Navicula"
"Nitzschia sp.";"Nitzschia"
"F. sp.";"Fragilaria"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"M. sp.";"Mallamonas"
"D. sp.";"Dinobryon"
"M. punctata";"Merismopedia punctata"
