"original_name";"name_clear"
"C. scutifer";"Cyclops scutifer"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"Chydorus sphaericus";"Chydorus sphaericus"
"Acantholeberis curvirostris";"Acantholeberis curvirostris"
"K. taurocephala";"Keratella taurocephala"
"Monostyla lunaris";"Monostyla lunaris"
"Gymnodinium palustre";"Gymnodinium palustre"
"P. inconspicuum";"Peridinium inconspicuum"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Oocyctis sp.";"Oocyctis"
"Navicula sp.";"Navicula"
"D. sp.";"Dinobryon"
"Diceras sp.";"Diceras"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"M. punctata";"Merismopedia punctata"
"periphyton";"Periphyton"
