"original_name";"name_clear"
"Cyclops bicuspidatus";"Cyclops bicuspidatus"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"Polyphemus pediculus";"Polyphemus pediculus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"Bosmina longirsotris";"Bosmina longirsotris"
"K. taurocephala";"Keratella taurocephala"
"T. multicrinis";"T_multicrinis"
"P. major";"Polyarthra major"
"P. remata";"Polyarthra remata"
"P. inconspicuum";"Peridinium inconspicuum"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Scenedesmus sp.";"Scenedesmus"
"Euastrum sp.";"Euastrum"
"Closterium sp.";"Closterium"
"Asterionella formosa";"Asterionella formosa"
"D. sp.";"Dinobryon"
"M. sp.";"Mallamonas"
