"original_name";"name_clear"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"Notemigonus crysoleucas";"Notemigonus crysoleucas"
"fish fry";"Fish fry"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. sicilis";"D_sicilis"
"Bosmina longirsotris";"Bosmina longirsotris"
"Chydorus sphaericus";"Chydorus sphaericus"
"Sida crystallina";"Sida crystallina"
"A. rectangula";"Alona rectangula"
"Acroperus harpae";"Acroperus harpae"
"K. longispina";"Kelicottia longispina"
"K. taurocephala";"Keratella taurocephala"
"K. testudo";"Keratella testudo"
"T. multicrinis";"T_multicrinis"
"P. major";"Polyarthra major"
"fish eggs";"Fish eggs"
"P. inconspicuum";"Peridinium inconspicuum"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"T. flocculosa";"Tabellaria flocculosa"
"periphyton";"Periphyton"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"nanoflagellates";"Nanoflagellates"
"Oocyctis sp.";"Oocyctis"
"Ankistrodesmus falcatus";"Ankistrodesmus falcatus"
"Navicula sp.";"Navicula"
"Gomphonema sp.";"Gomphonema"
"M. sp.";"Mallamonas"
"D. divergens";"Dinobryon divergens"
