"original_name";"name_clear"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"Lepomis gibbosus";"Lepomis gibbosus"
"Catostomus commersoni";"Catostomus commersoni"
"Ictalurus nebulosus";"Ictalurus nebulosus"
"fish fry";"Fish fry"
"C. scutifer";"Cyclops scutifer"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"Eucyclops agilis";"Eucyclops agilis"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. ambigua";"Daphnia ambigua"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"Chydorus sphaericus";"Chydorus sphaericus"
"Ceriodaphnia quadrangula";"Ceriodaphnia quadrangula"
"Kelicottia bostoniensis";"Kelicottia bostoniensis"
"Keratella cochlearis";"Keratella cochlearis"
"K. crassa";"Keratella crassa"
"K. taurocephala";"Keratella taurocephala"
"T. multicrinis";"T_multicrinis"
"Gastropus stylifer";"Gastropus stylifer"
"Polyarthra euryptera";"Polyarthra euryptera"
"fish eggs";"Fish eggs"
"Mesocyclops edax";"Mesocyclops edax"
"periphyton";"Periphyton"
"P. cinctum";"Peridinium cinctum"
"Staurastrum megacanthum";"Staurastrum megacanthum"
"s. sp.";"Staurastrum"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"Asterionella formosa";"Asterionella formosa"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Arthrodesmus incus";"Arthrodesmus incus"
"A. octocornis";"Arthrodesmus octocornis"
"Tetraedrom minimum";"Tetraedrom minimum"
"Botryococcus braunii";"Botryococcus braunii"
"Quadrigula closterioides";"Quadrigula closterioides"
"S. serratus";"S_serratus"
"C. sp.";"Cyclotella"
"C. sp.";"Chroococcus"
"M. akrokomos";"Mallomonas akrokomos"
"S. sp.";"Synura"
