"original_name";"name_clear"
"Perca flavescens";"Perca flavescens"
"Notemigonus crysoleucas";"Notemigonus crysoleucas"
"fish fry";"Fish fry"
"C. scutifer";"Cyclops scutifer"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"Asplanchna sp.";"Asplanchna"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. ambigua";"Daphnia ambigua"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"Chydorus sphaericus";"Chydorus sphaericus"
"Ceriodaphnia quadrangula";"Ceriodaphnia quadrangula"
"K. crassa";"Keratella crassa"
"K. taurocephala";"Keratella taurocephala"
"T. multicrinis";"T_multicrinis"
"Gastropus stylifer";"Gastropus stylifer"
"G. hyptopus";"G_hyptopus"
"P. major";"Polyarthra major"
"P. remata";"Polyarthra remata"
"C. unicornis";"C. unicornis"
"Euchlanis sp.";"Euchlanis"
"Monostyla lunaris";"Monostyla lunaris"
"fish eggs";"Fish eggs"
"Gymnodinium palustre";"Gymnodinium palustre"
"Synedra nana";"Synedra nana"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"nanoflagellates";"Nanoflagellates"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Schroederia setigera";"Schroederia setigera"
"Elakatrothrix gelatinosa";"Elakatothrix gelatinosa"
"Botryococcus braunii";"Botryococcus braunii"
"Scenedesmus sp.";"Scenedesmus"
"M. sp.";"Mallamonas"
"D. sertularia";"Dinobryon sertularia"
"D. sp.";"Dinobryon"
"S. sp.";"Synura"
"Merismopedia tenuissima";"Merismopedia tenuissima"
"M. punctata";"Merismopedia punctata"
"Chroococcus limneticus";"Chroococcus limneticus"
"Rhabdoderma lineare";"Rhabdoderma lineare"
