"original_name";"name_clear"
"Semotilus atromaculatus";"Semotilus atromaculatus"
"Notemigonus crysoleucas";"Notemigonus crysoleucas"
"Catostomus commersoni";"Catostomus commersoni"
"Ictalurus nebulosus";"Ictalurus nebulosus"
"fish fry";"Fish fry"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. sicilis";"D_sicilis"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Kelicottia bostoniensis";"Kelicottia bostoniensis"
"Keratella cochlearis";"Keratella cochlearis"
"K. crassa";"Keratella crassa"
"K. taurocephala";"Keratella taurocephala"
"T. multicrinis";"T_multicrinis"
"P. major";"Polyarthra major"
"Synchaeta sp.";"Synchaeta"
"Conochiloides dossuarius";"Conochiloides dossuarius"
"P. wisconsinense";"P_wisconsinense"
"P. inconspicuum";"Peridinium inconspicuum"
"Zygnema sp.";"Zygnema"
"Asterionella formosa";"Asterionella formosa"
"Fragillaria crotonensis";"Fragilaria crotonensis"
"Nitzschia sp.";"Nitzschia"
"periphyton";"Periphyton"
"fish eggs";"Fish eggs"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"nanoflagellates";"Nanoflagellates"
"Carteria sp.";"Carteria"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Arthrodesmus incus";"Arthrodesmus incus"
"T. sp.";"Tetraedrom"
"Scenedesmus sp.";"Scenedesmus"
"Rhizosolenia eriensis";"Rhizosolenia eriensis"
"M. sp.";"Mallamonas"
"Keriphyron sp.";"Keriphyron"
"benthic detritus";"Benthic detritus"
