"original_name";"name_clear"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"fish fry";"Fish fry"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"Eucyclops agilis";"Eucyclops agilis"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. catawba";"Daphnia catawba"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"Kelicottia bostoniensis";"Kelicottia bostoniensis"
"K. longispina";"Kelicottia longispina"
"K. taurocephala";"Keratella taurocephala"
"Synchaeta sp.";"Synchaeta"
"Colletheca mutabilis";"Colletheca mutabilis"
"Monostyla lunaris";"Monostyla lunaris"
"fish eggs";"Fish eggs"
"P. inconspicuum";"Peridinium inconspicuum"
"periphyton";"Periphyton"
"C. erosa";"Cryptomonas erosa"
"nanoflagellates";"Nanoflagellates"
"Ankistrodesmus falcatus";"Ankistrodesmus falcatus"
"M. sp.";"Mallamonas"
