"original_name";"name_clear"
"Mesocyclops edax";"Mesocyclops edax"
"Polyphemus pediculus";"Polyphemus pediculus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. leptomus";"Diaptomus leptopus"
"Bosmina longirsotris";"Bosmina longirsotris"
"Holopedium gibberum";"Holopedium gibberum"
"Kelicottia bostoniensis";"Kelicottia bostoniensis"
"K. taurocephala";"Keratella taurocephala"
"T. multicrinis";"T_multicrinis"
"Gastropus stylifer";"Gastropus stylifer"
"P. major";"Polyarthra major"
"Synchaeta sp.";"Synchaeta"
"Conochiloides dossuarius";"Conochiloides dossuarius"
"Colletheca mutabilis";"Colletheca mutabilis"
"Peridinium limbatum";"Peridinium limbatum"
"P. inconspicuum";"Peridinium inconspicuum"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Chlamydomonas sp.";"Chlamydomonas"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Schroederia setigera";"Schroederia setigera"
"Tetraedrom minimum";"Tetraedrom minimum"
"Scenedesmus sp.";"Scenedesmus"
"Navicula sp.";"Navicula"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"T. flocculosa";"Tabellaria flocculosa"
"Asterionella formosa";"Asterionella formosa"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"D. sp.";"Dinobryon"
"Merismopedia tenuissima";"Merismopedia tenuissima"
"Chroococcus limneticus";"Chroococcus limneticus"
"benthic detritus";"Benthic detritus"
