"original_name";"name_clear"
"Salvelinus namaycush";"Salvelinus namaycush"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"Semotilus atromaculatus";"Semotilus atromaculatus"
"Notemigonus crysoleucas";"Notemigonus crysoleucas"
"Lepomis gibbosus";"Lepomis gibbosus"
"Pimphales promelas";"Pimphales promelas"
"Notropis cornutus";"Notropis cornutus"
"Catostomus commersoni";"Catostomus commersoni"
"Ictalurus nebulosus";"Ictalurus nebulosus"
"Chrosomus eos";"Chrosomus eos"
"Pimphales notatus";"Pimphales notatus"
"fish fry";"Fish fry"
"Epishura lacustris";"Epishura lacustris"
"C. scutifer";"Cyclops scutifer"
"C. vernalis";"Cyclops vernalis"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. catawba";"Daphnia catawba"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"Alona costata";"Alona costata"
"Kelicottia bostoniensis";"Kelicottia bostoniensis"
"K. crassa";"Keratella crassa"
"K. taurocephala";"Keratella taurocephala"
"Trichocerca cylindrica";"Trichocerca cylindrica"
"Polyarthra euryptera";"Polyarthra euryptera"
"P. major";"Polyarthra major"
"P. vulgaris";"Polyarthra vulgaris"
"Conochiloides dossuarius";"Conochiloides dossuarius"
"C. unicornis";"C. unicornis"
"Colletheca mutabilis";"Colletheca mutabilis"
"E. triquetra";"E_triquetra"
"P. wisconsinense";"P_wisconsinense"
"P. inconspicuum";"Peridinium inconspicuum"
"Cosmarium sp.";"Cosmarium"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"T. flocculosa";"Tabellaria flocculosa"
"Synedra nana";"Synedra nana"
"S. ulna";"Synedra ulna"
"Diatoma sp.";"Diatoma"
"periphyton";"Periphyton"
"fish eggs";"Fish eggs"
"Cryptomonas ovata";"Cryptomonas ovata"
"Oocyctis sp.";"Oocyctis"
"Schroederia setigera";"Schroederia setigera"
"Elakatrothrix gelatinosa";"Elakatothrix gelatinosa"
"Arthrodesmus incus";"Arthrodesmus incus"
"T. caudatum";"Tetraedron caudatum"
"T. sp.";"Tetraedrom"
"C. tetrapaedia";"C. tetrapaedia"
"Ankistrodesmus falcatus";"Ankistrodesmus falcatus"
"Pediastrum tetras";"Pediastrum tetras"
"Scenedesmus sp.";"Scenedesmus"
"Rhizosolenia eriensis";"Rhizosolenia eriensis"
"Navicula sp.";"Navicula"
"Cyclotella glomerata";"Cyclotella glomerata"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"D. sp.";"Dinobryon"
"Merismopedia tenuissima";"Merismopedia tenuissima"
"A. flos-aquae";"Anabaena flos-aquae"
"Rhabdoderma lineare";"Rhabdoderma lineare"
